,job_description,salary,industry,sector,location,job_name,company_name,State
0,"Everlane is seeking a Data Analyst to join our Data and Analytics team, where youll use data to help us build a better understanding of how our product works, who our customers are, and what drives our companys growth.

As a team, we lean on a full-stack set of methodologies and tools to solve these problems, taking a data science problem from an initial open ended question to the eventual business implementation of a model. The subject areas that you will impact span the entire company, from quantifying the experience of our customers on everlane.com, to identifying optimization opportunities in our supply chain.
The Job
Work with business stakeholders to create metrics and self service reporting around key strategies
Partner with teams across the company to translate their questions into robust data analyses
Communicate results in clear and informative fashion, both in order to advise strategy, but also to guide other teams in interpreting their own data
Design and analyze rigorous experiments aimed at understanding customer behavior
The Qualifications
BA/BS degree in a quantitative or computing focused degree
2+ years of experience wrangling and analyzing large datasets to solve open ended business problems
Experience in SQL extending to knowledge of database design and warehousing concepts
Understanding of the fundamentals of statistics and probability
Strong communicator, especially when distilling complex concepts for a general audience
Experience in R, Python, or another data science suitable language

At Everlane, were rethinking the way retail works. We have no middlemen taking their cut and no brand markups. Instead, we design our own luxury basics and sell them exclusively at a fraction of the traditional retail price. Since launching in November 2011, Everlane has attracted over 1,300,000 members and has been featured in The New York Times, New York Magazine, The Economist, Elle, and GQ.

Please note before submitting an application: as a company, we take hiring very seriously. Interviewing with Everlane may include video and phone interviews, written projects, and/or on-site interviews. Although we are unable to follow-up with each and every applicant, we do our best to run a thorough process for candidates with whom we identify a potential fit.

Everlane provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, genetics, sexual orientation, gender identity or gender expression.","$78,000/ year",Other Retail Stores,Retail,"San Francisco, CA",Data Analyst,Everlane,CA
1,"Ubisoft is composed of over 12,000 talented people located in 28 countries across the globe. With around 85% of its staff devoted to game development, Ubisoft has the 2nd largest in-house creative team in the world.

The company's 27 different creative studios work hand-in-hand each day to deliver rich and innovative gaming experiences that reflect the creativity and diversity of their teams. This cross-studio collaboration model means every team member has the opportunity to participate in challenging projects based on iconic brands including Assassin's Creed®, Tom Clancy's Ghost Recon®, Tom Clancy's Splinter Cell®, Rabbids®, Rayman®, Watch Dogs®, Far Cry®, The Crew®, Just Dance® and more.

With an expansive global distribution network, Ubisoft is also a company that stays in close contact with its local fans.

Ubisoft, leading creator, publisher and distributor of interactive entertainment and services, with a rich portfolio of world-renowned brands, including Assassin's Creed, Just Dance, Tom Clancy's video game series, Rayman, Far Cry and Watch Dogs, is seeking a Data Scientist, Audience Science.

If you are looking to use your knowledge of data science to create insights in a renowned video game company, this is the job you have been looking for. In a newly established team, based in San Francisco, you will get to influence how we work with data science as you generate insights that are actively put to use.

Responsibilities:
Utilize a large panel of tools corresponding to different steps of the analysis. The most common will be SQL/HiveQL for data extraction, R/Python/Spark for data analysis and Tableau for data visualization.
The team is fully transverse as we are working with production, marketing, CRM, media, licensing, sales and finance.
Based on your strong background on computer science, you will be in charge of the automatization of scores and segmentations in a Hadoop environment.
You will work with the San Francisco teams, as well as with other teams based all around the world, mainly Montreal and Paris.
Build different models which provide insights for teams across the organization including, but not limited to our brand, CRM, production, and executive management teams.
Master's or degree or above in computer science or mathematics
3+ years of experiences as a software engineer, data engineer or data scientist
Proficiency in R, Python or Spark
Proficiency in SQL or HiveQL
Knowledge of data visualization
Experience with advanced analytics
Strong interest in the gaming industry
Excellent communication and interpersonal skills
Ubisoft is committed to creating an inclusive work environment that reflects the diversity of our player community. We are an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to their race, ethnicity, religion, gender, sexual orientation, age or disability status.

SDL2017","$137,000/ year",Video Games,Media,"Montreuil, France","Data Scientist, Audience Science",Ubisoft Entertainment,CA
2,"The Vegetable Statistics and Digital Innovation Team is seeking a motivated Data Scientist Intern. This position will be located in Woodland, California, reporting to our Digital Innovations and Statistics Lead.
The intern will be assigned a specific project besides working with the team to provide analytics and development support to the broader Veg R&D community within Bayer. Interns will be exposed to other functions and programs across the Veg R&D organization to gain a broad overview of the career opportunities. Before completion of the assignment interns will present the results of their project to the organization.
Dates for this summer internship are May 13-August 2 of 2019.
Key Responsibilities:
Play a key role in developing analytics and automated tools that are applied to plant breeding, plant health, and trait genetics.
Gain exposure to related functions such as the Genotyping/Marker Lab, Seed Production Plant, Pathology screening, and other areas.

Required Skills/Experiences:
Current enrollment as a Ph.D student in Statistics, Bioinformatics, Quantitative Genetics, Computational Biology, Biostatistics or related field.
Familiarity with the following areas: experimental design, (non-) linear mixed models, multivariate statistics, non-parametric analysis, (G)BLUP methodology, Bayesian statistics, Genome-Wide Association and Kinship Studies.
Demonstrated computational skills and experience with R, R Shiny, Python or other programming languages.
3.0 or above cumulative GPA.
Excellent interpersonal skills and the ability to work effectively in a team-based environment.
Ability to communicate complex analyses in a clear, precise and actionable manner.
Willingness and ability to relocate to Woodland, CA.
Must be returning to school to continue program of study following completion of this internship.
Desired Skills/Experiences:
Knowledge of genetics, genomics, plant/animal breeding and/or agriculture
Familiarity with AWS cloud computing environment.
Familiarity with git for version control and accessing data through APIs.
Experience with reproducible research.
Bayer successfully completed the acquisition of Monsanto in June 2018, bringing together Monsantos leadership in seeds and plant traits with Bayers leadership in chemical and biological crop protection. By joining forces, we will create even more extensive career opportunities for talent around the world. Were a global team working to shape agriculture through breakthrough innovation that will benefit farmers, consumers, and our planet.
While we are now Bayer, we will continue to hire using separate career sites until we can integrate our career platforms. We invite you to explore the career opportunities available at the combined company by visiting advancingtogether.com/careers.","$55,000/ year",Food Production,Agriculture & Forestry,"Saint Louis, MO",Vegetable R&D Data Science Intern,Monsanto Company,CA
3,"Are you the type of person who feels they could solve any problem if they just had the right data? Are you curious by nature? We are seeking a strong analyst to help us better understand and manage the Poshmark business through rigorous data analysis and insights.

The ideal candidate will bring a strong business mindset for approaching problems and have basic technical skills in data extraction and manipulation. This is the perfect opportunity for someone with 3-4 years experience to gain valuable experience and drive decisions at a high-growth, mobile commerce start-up.

Responsibilities
Develop a deep understanding of specific areas of the business and the key metrics to measure the performance of one of these areas: Growth, Marketplace Operations, Product, Community Service etc
Partner with the business team(s) to understand their needs and independently work on a variety of analytics projects focused on delivering insights, dashboards and custom reports to drive a variety of decisions across the user lifecycle
Extract required data from internal systems, lead analytics projects and monitor key trends in relevant metrics
Perform extensive QA on data to ensure the quality of data. Follow the standard process for reporting any issues identified and work with Data team to close the data issues
Proactively identify improvement opportunities through systematic and rigorous measurement and analysis
Maintain required documentation to ensure inventory of all key findings and growth opportunities
Identify the right metrics needed to appropriately manage our business, and work with Data Engineering team to implement the data collection needed.
Identify the opportunities for automated monitoring and work with engineering team to get the automation implemented
Desired Skills
B.A./B.S. or equivalent degree with 3 to 4 years of business analysis experience Or M.S. with 2+ years of business analysis experience.
Expert knowledge of SQL and MS Excel. Experience with Python, Spark SQL, Scala, Big data and Looker is a huge plus.
Strong business acumen is required. Experience in one of the business areas - Growth, Product, Marketplace Operations or Community Service is big plus.
Ability to use data and metrics to back up business cases, planning, and decisions
Detail oriented and expert in both qualitative and quantitative analysis with a passion for delivering actionable insights to key stakeholders.
Advanced reporting with strong critical thinking and project management skills
Excellent written and verbal communication skills
Please note that Poshmark will not be able to sponsor work-related visa for this role.

Why Poshmark?

Founded in 2011, Poshmark is the largest social marketplace for fashion where anyone can buy, sell and share their style with others. Poshmark's mission is to make shopping simple and fun by connecting people around a shared love of fashion, while empowering entrepreneurs to become the next generation of retailers. Recognized as the go-to shopping destination for millennials, Poshmark's community of over four million Seller Stylists help shoppers discover the perfect look from over 75 million items and 5,000 brands. The company is backed by the world's leading investment firms and venture capital institutions including Mayfield, Menlo Ventures, GGV Capital, Temasek, Inventus Capital, Uncork Capital, Union Grove Venture Partners, Shea Ventures and AngelList. For more information, please visit www.poshmark.com, or find us on Instagram, Facebook, Twitter, Pinterest and Snapchat.

Here's what we'll set you up with:
A team that is invested in your career growth and training
Competitive salary and equity, based on experience
Company sponsored health, dental and vision plans
A 13"" MacBook Air and smartphone reimbursement
Work alongside world-class talent
Flexible Vacation / Paid Time Off Policy
Parental Leave
Healthy and exciting lunches and snacks offered daily
Personal Style Encouraged (or not, whatever you're in to)
Fun company happy hours, parties, and offsite events","$65,000/ year",Internet,Information Technology,"Redwood City, CA","Data Analyst, Data Analytics/Data Science",Poshmark,CA
4,"Reimagining healthcare requires a sensitivity towards understanding complex data problems and drawing substantiated insights that help build novel products that truly improve people's lives. Our role in administering health plans puts us a position to dig into the most granular level of America's healthcare payment infrastructure. This gives us control over our data quality, which is key for getting specific and actionable insights.

We are looking for a creative Software/Data engineer with a data science mindset. This position requires strong foundation in building data centric algorithms at scale. Ideal candidate would have built/shipped production code using open source Big Data Technologies (Hadoop, Spark, Airflow wtc). This candidate should also be willing go beyond what is available in current Open Source frameworks and customize the these stacks if needed to make them better fit for business needs, and contribute back to open source community. Besides engineering foundational infrastructure components, you will also be building scalable Data-Mining and Machine Learning pipelines. You will be working very closely with rest of the Data Science team and collaborate with wider Engineering teams at company level.

We Expect to See:
Strong Data Structures and Algorithms background.
Developed scalable data pipelines.
Shipped at least one product/service.
Development experience in Linux environment.
Distributed data computing experience: you know how to parallelize computing across cluster of machines using modern stacks.
Written production code in any modern Languages like C++, Java, Python etc.
Comfortable with basic Statistics.
Superb communication skills in both Technical and Non-technical setting.
Nice to Have:

Experience with Big Data Technologies like Hadoop, Spark, Airflow.
Relational database modeling and SQL queries.
Familiar with AWS services like EC2, EMR etc or similar cloud computing environment.
Python development experience.
Experience with productionization of models developed in ML libraries like Scikit-learn, MLLIB, Tensorflow, Keras, (Py)Torch etc.
Experience with management of BI frameworks like Tableau, Looker etc.
Interest in Healthcare.
Collective Health is a technology company working to create the healthcare experience we all deserve. Founded in 2013, our team of engineers, designers, product managers, and actuaries are redefining the $1 trillion market of employer-sponsored health benefits with data-driven and people-focused products. Our complete health benefits solution helps great companies like Activision Blizzard, Palantir, Restoration Hardware, and Pinterest take care of their people by harnessing the power of design and technology. Based in San Francisco, CA, we're backed by some of the best investors in Silicon Valley including Google Ventures, Founders Fund, NEA, and Redpoint Ventures. For more information, visit us at https://www.collectivehealth.com.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Collective Health","$165,000/ year",Enterprise Software & Network Solutions,Information Technology,"San Francisco, CA",Data Science Engineer,Collective Health,CA
5,"Position Description

What you'll do
The Walmart Global eCommerce team is responsible for building and enhancing the next generation global eCommerce capabilities for our rapidly expanding customer base. This role will use one of the most comprehensive consumer data sets in the world to optimize and personalize experiences for our customers.

As Director of Product Management -- Data Science, you will lead strategy and implementation of our modeling efforts to deliver the most relevant digital messages to our existing and prospective customers. The tactics will include -- but are not limited to -- bidding and buying practices across paid media such as search engine marketing, real-time bidding platforms, paid social contexts and other internal personalization platforms.

In all cases, scale and efficiency are essential as Walmart offers one of the largest product catalogs in the world. For this reason, nearly all of our solutions are designed and implemented in-house. Combining elements of optimization, experimentation and growth hacking you will deliver and enhance systems which feed the right message to the right user at precisely the most impactful moment.

The role is not relegated to a science experiment however. You will have direct accountability to business goals (goals that you will help set and determine how to measure).

We are a high-performance team looking for others who will challenge us to become even better. Come join an organization where youll have the opportunity to contribute significant impact by solving problems at a scale available to only a few entities in the world. At Walmart eCommerce, the products you create are only bound by the scope of your imagination.

Responsibilities
Nexus of communication and planning between marketers, data scientists and engineers. Ability to lead each of these audiences with confidence and authority.
Drive prioritization, strategy and vision for a wide array of machine learning efforts across multiple data science teams.
Ability to prioritize competing data science initiatives and communicate with precision.
Work with rock star data science and data engineering teams in a fast paced, agile development process.
Communicate the benefits and champion the system you design throughout the organization.
Lead instrumentation and analysis of A/B testing to guide prioritization.
Analyze data to provide actionable insights.
Work closely with other product managers to provide visualization of performance and insights gleaned from these modeling efforts.
Lead, drive consensus and deliver in a matrixed organization with multiple stakeholders.

Minimum Qualifications

Bachelor's degree in Business Administration, Computer Science, Engineering, or related field and 7 years experience in eCommerce product management, management consulting, or related field OR 11 years experience in eCommerce product management, management consulting, or related field.
2 years supervisory experience.
Ability to drive teams toward a shared vision with velocity, and possess an indomitable bias toward action in the face of ambiguity.
Data science experience is as important as product management experience.
Proven track record of pushing complex, revenue-impacting features and products to closure in a web/mobile environment.
Able to manage multiple projects and priorities in a fast-paced environment.
Demonstrated ability to understand and discuss technical concepts, manage tradeoffs and evaluate opportunistic new ideas with internal and external partners.
Experience with eCommerce or programmatic marketing tactics (SEM, bidding optimization, etc.) a plus.
Ability to quickly establish credibility with software engineers and architects (C.S. degree or equivalent experience).
Excellent communication skills. Ability to cater messages to audience including all levels of the organization (from executives to software engineers at implementation level).
Comfortable defining and owning the accountability related to a portfolio of work which contains both incremental gains and game-changing big bets.
Experience driving large cross-organizational projects with technical and non-technical stakeholders.
Understanding the data underpinnings of what it takes to personalize experiences on the web (cookies, tying outbound marketing to adaptive experiences, tracking user state, etc.).
MBA.
Understanding of and experience with high throughput data pipelines and data engineering efforts.

Additional Preferred Qualifications

Ph.D. in field which involves hands-on ML work (or equivalent work experience).
Experience with eCommerce or retail and web-oriented technology products.
Marketing science-related work.
Experience with eCommerce sign-up flows a big bonus.

Company Summary

The Walmart eCommerce team is rapidly innovating to evolve and define the future state of shopping. As the worlds largest retailer, we are on a mission to help people save money and live better. With the help of some of the brightest minds in technology, merchandising, marketing, supply chain, talent and more, we are reimagining the intersection of digital and physical shopping to help achieve that mission.

Position Summary

What you'll do
The Walmart Global eCommerce team is responsible for building and enhancing the next generation global eCommerce capabilities for our rapidly expanding customer base. This role will use one of the most comprehensive consumer data sets in the world to optimize and personalize experiences for our customers.

As Director of Product Management -- Data Science, you will lead strategy and implementation of our modeling efforts to deliver the most relevant digital messages to our existing and prospective customers. The tactics will include -- but are not limited to -- bidding and buying practices across paid media such as search engine marketing, real-time bidding platforms, paid social contexts and other internal personalization platforms.

In all cases, scale and efficiency are essential as Walmart offers one of the largest product catalogs in the world. For this reason, nearly all of our solutions are designed and implemented in-house. Combining elements of optimization, experimentation and growth hacking you will deliver and enhance systems which feed the right message to the right user at precisely the most impactful moment.

The role is not relegated to a science experiment however. You will have direct accountability to business goals (goals that you will help set and determine how to measure).

We are a high-performance team looking for others who will challenge us to become even better. Come join an organization where youll have the opportunity to contribute significant impact by solving problems at a scale available to only a few entities in the world. At Walmart eCommerce, the products you create are only bound by the scope of your imagination.

Responsibilities
Nexus of communication and planning between marketers, data scientists and engineers. Ability to lead each of these audiences with confidence and authority.
Drive prioritization, strategy and vision for a wide array of machine learning efforts across multiple data science teams.
Ability to prioritize competing data science initiatives and communicate with precision.
Work with rock star data science and data engineering teams in a fast paced, agile development process.
Communicate the benefits and champion the system you design throughout the organization.
Lead instrumentation and analysis of A/B testing to guide prioritization.
Analyze data to provide actionable insights.
Work closely with other product managers to provide visualization of performance and insights gleaned from these modeling efforts.
Lead, drive consensus and deliver in a matrixed organization with multiple stakeholders.","$230,000/ year",General Merchandise & Superstores,Retail,"Bentonville, AR","Director, Product Management -- Data Science",Walmart,CA
6,"Note: To apply for this job, submit your application by clicking on the Apply Now button on this page
ZS is the world's largest firm focused exclusively on improving business performance through sales and marketing consulting solutions, from customer insights and strategy to analytics, operations and technology. Together, we design and implement strategies that lead to greater market share, more competitive operations and increased use of today's latest technologies. From our worldwide offices, ZS professionals draw on deep industry and domain expertise to deliver impact where it matters for clients. We are particularly known for our expertise in the pharmaceutical and health care sectors, yet work across a range of industries.
ZS' Business Consulting group delivers solutions to a broad spectrum of marketing and sales challenges. We also help our clients transform their sales and marketing organizations to implement these solutions. Our solutions and recommendations are based in rigorous research and analysis underpinned by deep expertise and thought leadership.
DATA SCIENCE ASSOCIATE CONSULTANT
Data Science Associate Consultants (DSACs) design, develop and execute analytic techniques on large, complex, structured and unstructured data sets (including big data) to help clients make better fact-based decisions. DSACs will research and develop new offerings/solutions, deliver client impact by collaborate to deliver client solutions and contribute to development of the ZS point of view in this space.
Responsibilities:
Develop advanced algorithms that solve problems of large dimensionality in a computationally efficient and statistically effective manner;
Execute statistical and data mining techniques (e.g. hypothesis testing, machine learning and retrieval processes) on large data sets to identify trends, figures and other relevant information;
Collaborate with clients and other ZS stakeholders to effectively integrate and communicate analysis findings;
Evaluate emerging datasets and technologies that may contribute to our analytical platform;
Participate in development of select assets/accelerators that create scale;
Contribute to thought leadership through research and publication support;
Guide and mentor Associates on teams.
Qualfications:
PhD degree in Computer Science, Statistics or related discipline, and strong academic performance with analytic and quantitative coursework is required;
In lieu of a PhD, 3-5 years of relevant post-collegiate work experience;
Knowledge of big data/advanced analytics concepts and algorithms (e.g. text mining, social listening, recommender systems, predictive modeling, etc.);
Knowledge of programming (e.g. Java/Python/R);
Exposure to tools/platforms (e.g. Hadoop eco system and database systems);
Agile project planning and project management skills;
Relevant domain knowledge preferred; (healthcare/transportation/hi-tech/insurance);
Excellent oral and written communication skills;
Strong attention to detail, with a research-focused mindset;
Excellent critical thinking and problem solving skills;
High motivation, good work ethic and maturity.
ZS is a global consulting firm; fluency in English is required, additional fluency in at least one European or Asian language is desirable.
Candidates must possess work authorization for their intended country of employment. An on-line application, including a cover letter expressing interest and a full set of transcripts (official or unofficial), is required to be considered.
ZS Associates offers a competitive compensation package with salary and bonus incentives, complete medical/dental/life insurance programs and retirement benefits. We are an Equal Opportunity Employer.
NO AGENCY CALLS, PLEASE.
Connect with ZS on social media:
Like ZS Careers on Facebook
Follow ZS Careers on Twitter and Instagram
Follow ZS on LinkedIn for more job opportunities
Subscribe to the ZS YouTube channel
Explore the Life at ZS blog
ZS has been recognized globally for its expertise in consulting and its flexible work environment. View ZS’s accolades.","$98,000/ year",Consulting,Business Services,"Evanston, IL",Data Science Associate Consultant,ZS Associates,CA
7,"Red Ventures is seeking a candidate who will be responsible for leading and supporting the product team consisting of designers, web engineers, data analysts, and QA engineers in building cutting-edge native mobile applications for The Points Guy. The successful candidate will be able to effectively communicate project status, milestones, and risks to in-house and remote stakeholders. Manage and prioritize local and remote cross-functional team workload. The mobile project manager role will be based in Red Ventures Los Angeles office in Pasadena, CA.

Core Responsibilities
Implement continuous improvements and enforce best-practices.
Demonstrate servant-leader characteristics.
Able to pivot when priorities shifts.
Operate in a fast-pace, frequent changing environment.
Foster agile ""mentality""; not necessarily agile process.
Ability to communicate technically to cross-functional team and stakeholders.
Coordinate dependencies and/or conflict priority across one or more external teams.
Manage project scope creeps.
Remove impediments.
Facilitate team meetings.
Work directly with Product Managers to translate ideas into manageable deliverables.
Able to work independently with little oversight.
The ideal candidate understands and shows aptitude in:
Understanding of SDLC, and maintenance of iOS applications in the App Store and Android application in the Play Store.
Create, and maintain Project Plans/Gantt charts using project management tools.
Proficient with Asana to help teams organize, track, and manage their work.
Proven track record in helping team grow.
Additional Requirements
Excellent communication, collaboration and writing skills
B.S. in Computer Science or equivalent education and experience (plus)
Certified Scrum Master (CSM) (plus)
How We Work:
Iterate - Red tape doesn't get in our way. We believe that ""Speed Trumps Perfection"" so we do daily deployments.
Autonomy Aspiring entrepreneurs succeed here because you will have full-ownership over your work from beginning to end.
Collaborate Better than making the dream work, teamwork makes a successful outcome. Through open work-space, Slack and team collaboration, our teams work together to build amazing solutions.
Innovate With the belief that ""Everything is Written in Pencil"", we encourage our teams to challenge the ""status quo"", learn new technologies, and even occasionally wear different hats if they like; to make us better.
About Red Ventures:

Red Ventures is a multi-billion-dollar portfolio of digital companies that specializes in bringing consumers and brands together. Through bespoke technology, integrated digital commerce and sales, distinguished partnerships, data science and original content from the company's proprietary brands and marketplaces, Red Ventures provides better end-to-end consumer experiences throughout the buying cycle. Headquartered in the Charlotte metro area, Red Ventures has more than 3,600 employees globally in offices across the US, UK and Brazil.","$100,000/ year",Advertising & Marketing,Business Services,"Fort Mill, SC",Mobile Technical Project Manager,Red Ventures,CA
8,"Position Title

Director, Artificial Intelligence Initiatives

Job Title

Director, Artificial Intelligence Initiatives

Job Description

CliniComp, Intl. (CCI) is a world class leader in Electronic Health Records. Our culture is to work with smart and creative people that can create and build a pathway to change the course of medicine and how care is delivered.

Job Summary
CliniComp, Intl. is seeking an exceptional expert and leader for a Director of Artificial Intelligence (AI) Initiatives role. Reporting to the CEO, this individual will lead our AI initiatives and spearhead turning data into advanced solutions to enhance our software platform and drive positive customer outcomes. The Director will develop our data science/data mining practice area and will also oversee the company’s Machine Learning efforts. In this role, you will lead the charge to advance the Machine Learning practice by thought leadership and building on our current capabilities in our advanced analytics practice.

This business leader will design and develop an AI-based system to analyze and interpret the data, conduct self-learning, and generate advanced knowledge. The ideal candidate should possess an advanced understanding of artificial intelligence, have superior leadership and cross-functional communication skills, and manage complex projects and influence multi-disciplinary teams.

Primary Responsibilities
Recruit, retain, and develop high quality Artificial Intelligence (AI) staff. Manage performance of direct reports and in-direct reports.
Provide scientific, technical, and organizational leadership for the Artificial Intelligence group in support of our large-scale database goals, including analyzing, searching, and virtualization of this dataset.
Lead the team to develop novel tools (especially AI based tools) to analyze large scale healthcare data.
End to end hands-on ownership of machine learning systems deployable across various projects including data pipelines, model generation, and training.
Algorithm development and model enhancements around some key research and innovation areas.
Guide patent applications and scientific research. Present research results at academic conferences.
Explore future directions of AI research.
Perform other work related duties as assigned.

Basic Qualifications

• M.S. with 6+ years/Ph.D. with 3+ years in Computer Science field with applied experience in Artificial Intelligence, Machine Learning, Deep Learning, or Natural Language Processing.
Deep knowledge and experience in artificial intelligence research.
Strong theoretical computer background.
Strong algorithmic background and multithreading/processing/MPI.
Experience with developing algorithm/software.
Experience with scientific activity, such as involved with publications, conferences, etc.
Understanding or have background experience with high performance computing.
Experience with manipulating and analyzing very large data sets a plus. Software skills appropriate for this analysis (shell scripting, Perl/Python, C/C++, SQL, etc.).
Strong problem-solving skills and ability to think creatively.
Energetic and motivated self-starter with an ability to learn quickly in a fast-paced environment.
Work in a team environment and influence cross-functional teams.
Excellent analytical and problem solving as well as communication and presentation skills.
Delivery of a previous AI-based project with success and failure stories from a real customers, with a good sense of lessons learnt and a clear interest and passion in trying out what was learnt into new projects.
Hands on coding with C/C++, Python, Lua, MATLAB, or any proficient AI language of choice.
A mathematical, statistical and probability inclination and deep understanding of some AI concepts.
A sense of ambition and passion to change the world using AI and Deep Learning.
Preferred
Familiarity with common statistical and data mining techniques used in analyzing biological data a plus.
5+ years of management experience preferred.
CliniComp, Intl. offers a competitive salary and exceptional benefits, including 100% of the premium for both employee and dependents on our HMO medical, dental, life and vision insurance plans; immediate 401(k) contribution with 25% company match, long-term disability plan, paid holidays and flex time off, education reimbursement, flexible spending accounts, Employee Assistance Program, and the opportunity to be part of an exciting established company, working in the dynamic field of health information technology.
We comply with the Americans with Disabilities Act and consider reasonable accommodation measures that may be necessary for eligible applicants/employees to perform essential functions.

EEO/AA/M/F/Veteran/Disabled","$148,000/ year",Computer Hardware & Software,Information Technology,"San Diego, CA","Director, Artificial Intelligence Initiatives",CliniComp,CA
9,"Company:
Safeway Inc-001

Job Title:
Director of Data Science

Address:
5918 STONERIDGE MALL RD, PLEASANTON, California 94588

Job Description:

Albertsons-Safeway Company is one of the largest food and drug retailers with 2,300+ stores. The Albertsons-Safeway family of brands includes some of the most prominent brands in food retailing, with a growing base of loyal shoppers. Thanks to the professionalism, diversity, spirit and friendliness of our people, we have locations across the U.S.

The Data Analytics Department has an opening for a Director of Data Science. This position is located in Pleasanton, California.

Position Purpose

The Data Analytics team at Albertsons/Safeway is looking for a Director of Data Science to lead and develop a team of data scientists and engineers who will implement tools and technologies to help our customers and internal constituents achieve extraordinary value. We are looking for someone to join our team to lead groundbreaking projects, to leverage massive structured, unstructured, transactional and real-time data sets from a variety of sources, analyze financial and customer usage patterns and make actionable recommendations using machine learning, data mining, business understanding and common sense. The Data Science Group is a centralized team that is responsible for helping business units make objective decisions using science. This person is the face of the data science team for internal clients and works with key business partners to identify collaboration opportunities, ideates with the business group to develop a point of view on how advanced analytics. The Director is also responsible for ensuring that we hire the best in class data science team and for fostering an intellectual and collaborative environment.

Key Responsibilities include, but are not limited to:
Operates as the internal client's thought partner
Provides in-depth consultative analyses to senior business leaders
Provides data mining, pattern and root cause analyses to help business units understand areas of untapped opportunity
Develops business cases and recommendations for innovations to address business opportunities
Produces ROI models and delivers build vs. buy recommendations
Presents design, analysis, modeling choices and recommendations to CXO level audiences Develop a roadmap to best support business initiatives Collaborate closely with internal business partners and identify opportunities where machine learning can add value
Formulates an analytic data-driven approach to address business questions
Designs technical solutions for decision systems and the development of modeling algorithms to be deployed to production
Manages, mentors, and develops the overall team of Data Scientists
Challenge the internal data science team on advanced analytical concepts
Hires, trains, retains and challenges a best-in-class data science and analytics professionals
Responsible for the employment, promotion, associate performance evaluation, training, motivation, counseling/mentoring, and discipline of assigned associates
Manages other managers of data science and/or principle data scientists/engineer
Qualifications:
Exceptional business acumen, with abilities to develop strategic and tactical recommendations across multiple areas of the business through research and collaboration.
Advanced knowledge of data science concepts and experience working with diverse large data
Excellent internal client (including Executive level) and external vendor management skills.
Excellent communication skills both oral and written with strong analytical and presentation skills including advanced fluency with Microsoft business applications (Word, Excel).
Strong negotiation skills and ability to direct cross-functional team members.
Strong PowerPoint skills
Master's Degree in Statistics, Business Administration, a related field or equivalent education required
Ph.D. preferred and/or strong consulting background preferred
10+ years of relevant quantitative and qualitative research and analytics experience.
3+ years of experience leading a data science team
Experience turning ideas into actionable designs and delivering solutions to end users. Able to persuade stakeholders and champion effective techniques
Strong verbal and written communication skills as well as excellent presentation skills
Strong understanding of database structure, design, query languages (e.g. SQL), big data systems (e.g., Hive, Pig)
Proven success managing teams of data scientists and leading Machine Learning projects
How to Apply: Interested candidates are encouraged to submit a resume by visiting careersatsafeway.com

Diversity is fundamental at Albertsons-Safeway. We foster an inclusive working environment where the different strengths and perspectives of each employee is both recognized and valued. We believe that building successful relationships with our customers and our communities is only possible through the diversity of our people. A diverse workforce leads to better teamwork and creative thinking, as well as mutual understanding and respect.

The Albertsons-Safeway policy is to provide employment, training, compensation, promotion and other conditions of employment without regard to race, color, religion, sexual orientation, gender identity, national origin, sex, age, disability, veteran status, medical condition, marital status or any other legally protected status.

We support a drug-free workplace -- all applicants offered a position are required to pass a pre-employment drug test before they are hired.

AN EQUAL OPPORTUNITY EMPLOYER","$142,000/ year",Grocery Stores & Supermarkets,Retail,"Pleasanton, CA",Director of Data Science,Safeway Inc,CA
