,job_description,industry,sector,location,job_name,company_name,State
0,"Evil exists and fortunately we're here to stop it! Fraud and abuse plague online businesses of all types and in various forms (i.e. payment fraud, content and promotional abuse, account takeover, chargebacks). As the internet's trust layer, Sift Science's mission is simple yet powerful: make these online experiences faster, smoother, and safer using the smartest technology around. We are looking for passionate, technically agile new grads who have the ability to dive into tough problems and are eager to take on and learn new skills.

At Sift Science, engineers build our products soup-to-nuts, or, if you prefer, bits-to-pixels. Our stack is built primarily in Java using Hadoop, HDFS, and HBase. As you can see, we love open source, but we don't shy away from building our own technology when the best available isn't good enough. As a New Grad Engineer at Sift, you will work on a variety of technical problems (front-end, back-end, data-science, full-stack) that span our entire product and internal infrastructure.

What you'll do

Some of the complex and challenging problems our engineering teams work on are:

Infrastructure - Infrastructure is the backbone of everything we do at Sift. Examples of projects include finding and removing performance bottlenecks, scaling databases, building a framework for feature extraction, and server architecture and administration.

Machine learning - We fight fraud with machine learning and our approach is unique. We train our models on millions of transactions across hundreds of customer sites, with countless features extracted from each.

Applications - The best infrastructure and machine learning techniques are meaningless without applications that put them to good use. Our API platform enables our customers to get value from Sift Science within minutes of signing up, and our front-end Console product summarizes our predictions in ways that are instantly actionable.

What makes you a good fit
Graduating in 2019 with a B.S., M.S. or Ph.D. degree in Computer Science or related field
Previous internship experience in software engineering
Proficiency in a dynamic programming language such as Java or Python
Proactive nature, and the ability to continually learn from your experiences
Bonus Points
Proficiency with object-oriented programming
Experience with machine learning
Experience with programming concurrent servers
Experience with distributed systems and networking
Experience with web programming and visualizations
Experience with Hadoop, HDFS, and HBase",Internet,Information Technology,"San Francisco, CA",Software Engineer - New Grad,Sift Science,CA
1,"Company Description

Are you looking for an exciting opportunity in the digital marketing space, at a software company that has deep technology differentiation and is aligned to key macro level trends in the industry?

Invoca is the trusted market leader in enabling brands to connect with consumers using the power of voice. With the Invoca Voice Marketing Cloud, brands are bringing the same level of sophistication to their voice-based consumer interactions as they have in the digital world. We partner with industry leaders like Facebook, Google, Adobe, IBM and Salesforce to help marketers maximize the efficiency of their digital marketing spend, and deliver a great consumer experience across both the digital and voice worlds. And as voice, artificial intelligence and mobile become more important with each passing day, Invoca is poised for continued long term growth and innovation.

Our world-class team and culture is at the heart of Invocas success. Our team brings deep SaaS experience from industry leaders Microsoft, Salesforce, Responsys / Oracle, Citrix, and ON24, and our top tier investors include Accel, Morgan Stanley, Salesforce, Upfront Ventures, and Rincon Venture Partners. With a unique culture that blends the best of Santa Barbara and the Bay Area, we are here to educate, empower, and support our customers to help them achieve their full potential. We have a culture of transparency and teamwork, but with a bias for action and accountability that drives our path to success. We strive to be a company that our peers admire and our competitors envy, and like all great teams, we push each other to new heights, celebrate our victories, and we pick each other up when we lose.

We do it all with honesty and integrity, and were looking for the best and brightest minds in software to drive the future of marketing with us.

Job Description

Invoca is seeking an Associate Data Scientist to capitalize on the rich unstructured data set collected by our platform, including 100s of millions of phone conversations per year. You will develop, update, and maintain AI models which help our customers understand what transpires on their phone calls. Your role is part research: learning, reading papers, and working with our data science team to develop elite models for call analytics, part maintenance: making sure our models perform as well as they can, and part fielding customer requests: investigating problems when they arise and identifying new techniques to alleviate pain points in our customers' businesses.

Essential Functions:
Analyze data sets across industries, seasons, and other boundaries
Recommend machine learning algorithms including feature extraction
Work with the engineering team to regularly deploy models to production
Team and Technical ownership of Data Sciences
Publish and present Invocas Data Science technologies at technical conferences
Qualifications
Bachelors or Masters in statistics, natural or social sciences, applied mathematics or computer science, or relevant experience in data science techniques (data collection, data cleaning, model building, model validation etc).
Working knowledge of Python and related tools such as Jupyter notebooks
Modeling and data analysis using machine learning models, classical statistics, or other techniques
An intense curiosity and a drive to optimize the AI experience for our existing customers and to discover new patterns in our data.
Additional Information

Invoca Offers:
Competitive salary
Stock options in a fast-growing company
Excellent medical benefits and paid time off
401K plan with company matching
Phenomenal co-workers and the best work environment in Santa Barbara
To all recruitment agencies not contractually engaged with Invoca: Invoca does not accept agency resumes. Please do not forward resumes to our jobs alias, Invoca employees or any other company location. Invoca is not responsible for any fees related to unsolicited resumes.",Advertising & Marketing,Business Services,"Santa Barbara, CA",Associate Data Scientist,Invoca,CA
2,"Data Scientists at Microsoft help to improve the quality of experiences on our devices and services. We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft?s devices, operating systems, and services. As a Data Scientist, you will provide unique insight into business and customer scenarios that cut across organizational boundaries and lead the growth of a data-driven culture within Microsoft.?

Do you want to work on a meaningful and impactful project and make a difference?

Are you willing to learn from others and open to new ideas?

Do you want to support others to succeed and operate in a highly-collaborative and global environment?

If this sounds like you, Microsoft would like to invite you to come join us as you are, where you can find more than just a job.

Read on to learn more about opportunities and apply online!

Applications to these opportunities are considered for all available Data & Applied Sciences intern roles including the ones described below, depending on education level and/or location. To be considered for an internship or college student position, you need to be enrolled full-time as a student majoring in an applicable field.
*Responsibilities**
As a Data Scientist, you will formulate approaches to solve problems using well-defined algorithms and data sources. You will incorporate an understanding of product functionality and customer perspective to provide context for those problems. You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the data. Successful Data Scientists will interpret the results of their analysis, validate their approach, and learn to monitor, analyze, and iterate to continuously improve.

You will engage with peer stakeholders to produce clear, compelling, actionable insights that influence product and service improvements that will impact millions of customers. As a Data Scientist, you will also engage in the peer review process and act on feedback while learning innovative methods, algorithms, and tools to increase the impact and applicability of your results.
*Qualifications**
+ Currently pursuing a bachelor?s or master?s in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology and or other quant-focused field with at least one semester/quarter remaining after internship.?

+ Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc.

+ Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#.

+ Some experience and or project course workperforming data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.

+ Some experience and or project course workwith product and service telemetry systems.

+ Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal.

+ Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged.

+ Passion to learn from your peers, manager, and other stakeholders in the Data Science domain.

+ Ability to interact with peers and stakeholders to drive product and business impact.

+ Strong interpersonal and communications skills.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",Computer Hardware & Software,Information Technology,"Redmond, WA",Intern opportunities for students: Data & Applied Sciences,Microsoft Corporation,CA
3,"Data Scientists at Microsoft help to improve the quality of experiences on our devices and services. We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft?s devices, operating systems, and services. As a Data Scientist, you will provide unique insight into business and customer scenarios that cut across organizational boundaries and lead the growth of a data-driven culture within Microsoft.?

+ Do you want to work on a meaningful and impactful project and make a difference?

+ Are you willing to learn from others and open to new ideas?

+ Do you want to support others to succeed and operate in a highly-collaborative and global environment?

+ If this sounds like you, Microsoft would like to invite you to come join us as you are, where you can find more than just a job.

Read on to learn more about opportunities and apply online!

Applications to these opportunities are considered for all available Data & Applied Sciences roles including the ones described below, depending on education level and/or location. To be considered as a student or recent graduate, you should be within 12 months of graduation or graduated within the last 12 months.
*Data Scientist**
Opportunities for Data Scientists?one of today?s hottest jobs?are rapidly growing in response to the exponential amounts of data being captured and analyzed. Microsoft looks to hire Data Scientists to find insights and to solve meaningful business problems.

The Data Science domain is growing rapidly and we are interested in people with diverse multi-disciplinary backgrounds, engineering and analytical skills, ruthless curiosity, and the motivation to improve product quality with data. If you consistently use data to improve the world around you and have the energy and flexibility to help us build a world class team, come join us to change the world of computing.
*Data Science Consultant/Architect**
Service delivery professionals, both Consultants and Architects, work to deliver technical solutions directly with the customer, helping them to maximize their investment in Microsoft technology. This requires a willingness to bring order to often ambiguous and complex implementations. Applicants should and be strategic and forward looking, so solutions scale to future business and technical needs.
*Responsibilities**
*Data Scientist**
As a Data Scientist, you will formulate approaches to solve problems using well-defined algorithms and data sources. You will incorporate an understanding of product functionality and customer perspective to provide context for those problems. You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the data. Successful Data Scientists will interpret the results of their analysis, validate their approach, and learn to monitor, analyze, and iterate to continuously improve.

You will engage with peer stakeholders to produce clear, compelling, actionable insights that influence product and service improvements that will impact millions of customers. As a Data Scientist, you will also engage in the peer review process and act on feedback while learning innovative methods, algorithms, and tools to increase the impact and applicability of your results.
*Data Science Consultant/Architect**
Building upon solid analytical and IT project experience, these professionals will work with to assist customers in the delivery of high quality engagements around Microsoft's solution areas, technologies, services and products in diverse client environments. Delivery professionals will also help assist customers: in stabilizing developed solutions using Microsoft methodologies in complex customer environments, in the design and development of integrated solutions using the latest Microsoft products, services and technologies and in understanding the relevant application development, infrastructure and operations implications of the developed solution.
*Qualifications**
+ A bachelor?s or master?s in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology and or other quant-focused field (within 12 months of graduation).

+ Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc.

+ Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#.

+ Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.

+ Some experience and or project course work with product and service telemetry systems.

+ Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal.

+ Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged.

+ Passion to learn from your peers, manager, and other stakeholders in the Data Science domain.

+ Ability to interact with peers and stakeholders to drive product and business impact.

+ Strong interpersonal and communications skills.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",Computer Hardware & Software,Information Technology,"Redmond, WA",Full-time opportunities for students & recent graduates: Data & Applied Sciences,Microsoft Corporation,CA
4,"At DataFox, the backend team architects and steers our data infrastructure to scale with our product. Our goal is to further solidify DataFox as the leader in high-caliber company data generation and proprietary growth insights. We’re excited to seek out a backend software engineer who can take initiative and think creatively to solve complex data problems.

Our backend engineers work closely with data operations, data science engineers, and product management - we’re a highly collaborative group. We also complement the full-stack engineering team, as the backend team owns data and backend infrastructure that helps power our customer-facing components and features. In-line with our values of ‘constant learning’, we’ll also make sure you have exposure to new technologies and technical skills on our team.

Ultimately, we’re an inclusive team of a dozen highly-collaborative, empathetic, and diverse engineers. We’re passionate about utilizing data to automate grunt-work, and value both hard work and humility. As a start-up, we know how to balance using existing approaches, with taking risks to find the right tools to solve problems. We're a close-knit skulk (a group of foxes!) but we also have lives outside of work.

You can read more about how our engineering team works and our top values here: https://www.keyvalues.io/datafox
Here are some ways you'll make an impact:
You’ll design data models that will scale as we expand our dataset, currently encompassing over 2.5M companies.
You'll tackle difficult technical challenges such as high-volume crawling, machine learning, data matching, and deduplication.
You'll work closely with Product Managers and full-stack engineers engineers to develop APIs that support our many customer facing applications.
You'll handle Dev Ops. Here at DataFox, engineers deploy and maintain production code!
You'll learn new tools and languages on the job, such as NodeJS, Python, SpaCy, Solr, Airflow, Redis, and Ansible.
Are you our next Fox?
You've gained at least 2+ years work experience as a professional software engineer, and have contributed to concurrent, distributed web systems.
You write clean, modular code that is scalable and secure.
You have experience with a modern web stack (such as Rails, Django, MEAN, LAMP).
You are comfortable with at least one type of database (such as MySQL, PostGRES, MongoDB). You can write efficient database queries and optimize indexes.
You can translate initial requirements into technical details, and can collaborate effectively with other stakeholders to improve technical design.

Bonus Fox Points:
You have DevOps experience.
You have worked with Node.js, MongoDB, or ML/NLP.
You have experience with building or using APIs.
You have experience on a modern frontend framework like Angular, Ember, or React.
Working at DataFox
We have a beautiful office in downtown San Francisco. Lunch is on us every day. We work with some of the brightest teammates and customers in the world, including hundreds of the top of finance and technology companies relying on our data for investment, sales, and marketing.
While everyone talks about artificial intelligence, at DataFox, you will gain constant exposure to actually legitimate production Natural Language Processing and Machine Learning that flows all the way through to our end users.
We care about building a team of high-performers, covering each other’s backs, constantly learning, and delighting our customers by solving hard problems.
Company insights abound here. If you are interested in businesses and their role in the economy, the world of private equity, or the future of data-driven sales, then you just might love DataFox. If you’re looking to not only see how a quickly growing technology company (DataFox) brings its services to market, but also to see how the rest of the business ecosystem works, then this is the opportunity for you.
DataFox is the real-time source of truth on over 2.5 million companies around the world. Sales, marketing, and finance professionals all rely on DataFox to understand their markets and prioritize which companies they should be targeting.

DataFox helps industry-leading businesses gain control of customer insights with CRM Orchestration. DataFox's machine learning and natural language processing algorithms structure data on millions of businesses and deliver reliable insights into the workflows where they're needed.

DataFox is backed by Goldman Sachs, Green Visor, Google Ventures, and Slack, and used by high-growth startups and Fortune 500 companies alike (e.g. UPS, Visa, Twilio, and InsightSquared). For more information, visit www.datafox.com",Enterprise Software & Network Solutions,Information Technology,"San Francisco, CA",Software Engineer (Backend),DataFox,CA
5,"Common Purpose, Uncommon Opportunity. Everyone at Visa works with one goal in mind – making sure that Visa is the best way to pay and be paid, for everyone everywhere. This is our global vision and the common purpose that unites the entire Visa team. As a global payments technology company, tech is at the heart of what we do: Our VisaNet network processes over 13,000 transactions per second for people and businesses around the world, enabling them to use digital currency instead of cash and checks. We are also global advocates for financial inclusion, working with partners around the world to help those who lack access to financial services join the global economy. Visa’s sponsorships, including the Olympics and FIFA™ World Cup, celebrate teamwork, diversity, and excellence throughout the world. If you have a passion to make a difference in the lives of people around the world, Visa offers an uncommon opportunity to build a strong, thriving career. Visa is fueled by our team of talented employees who continuously raise the bar on delivering the convenience and security of digital currency to people all over the world. Join our team and find out how Visa is everywhere you want to be.

This position will be part of the Visa Security Engineering team, where as a software engineer first, you will be building and delivering cybersecurity products and capabilities enhanced through applied machine learning. 
Build, design, engineer, and develop software and services that deliver security functionality and improve security efficiency and capabilities through automation. The candidate needs to possess software engineering skills that allow them to build new capabilities and solutions vs. simply integrating an existing open source platform or operating a vendor solution.
Utilize information retrieval, data analytics, and statistical modeling techniques to build new machine learning models and apply it to cybersecurity usecases. This will include the entire lifecycle including collection of data, feature engineering, model development, training, testing, and deployment into production.
Rewriting of any existing code using more robust type-safe and memory safe languages while incorporating faster data piping and parallel processing frameworks.
Engineering of products and services while accounting for computability and complexity (e.g. NP-complete problems) and security architecture (e.g. memory, cache, deadlocks, etc.)
Develop prototypes and algorithms (e.g. searching, sorting, optimization, dynamic programming) while performing data engineering tasks around aggregation and data synthetization from a multitude of structured and unstructured data sources.. 
Assist in shaping overall direction, life-cycle management, and leadership for Information Security architecture and technology related to Visa. 
Create requirement and design documents that account for security risks in new or existing systems with architectures to mitigate them within risk appetite. 
Research and develop security assessments of existing solutions as well as defining security architectures for new solutions. 
Present results to a cross section of employees, including senior leaders at Visa. Utilize graduate-level research and analysis skills.
The candidate must posses strong software engineering skills as the key primary. Applied Machine learning is a close second. Knowledge of security related concepts is a plus but not required. This is not a research but an engineering function.
Software Development, Programming , and debugging using various programming languages and frameworks (object oriented programming, Golang, Python, Java, and C++, JavaScript);
Applying Machine Learning/Artificial Intelligence, data science, and statistics concepts including API integration, python, authentication, analysis, modeling, and visualization (python, sci-kit, numpy, matlab, algorithms);
Knowledge of NoSQL databases (e.g. MongoDB, Cassandra) is a plus
Network, System, and Solution Architecture background is a plus
Familiarity with Git and Unix/Linux commands
Server-client modeling, including MVC architecture knowledge 
Posses knowledge around utilizing Big data and distributed computing systems including cloud based computing systems;
Database systems, data structures, algorithms, operating systems, and their application during software engineering or security related services.
All your information will be kept confidential according to EEO guidelines.",IT Services,Information Technology,"Foster City, CA",Machine Learning Engineer - Security Engineering,Visa Inc.,CA
6,"If you are interested in the audio industry: sound, video, and control systems, software, firmware, and acoustics, this job is for you! QSC is one of the world’s leading designers and manufacturers of professional systems equipment– and we have room for a Software/Data Science Intern to help us move forward. QSC is a friendly, laid-back environment where“work hard, have fun” is literally one of the corporate values.

This position is located in the Costa Mesa, CA office.

Your role as a Software/Data Science Intern will be to assist the internal technology team in designing, building, and populating a complex database. Once built, your role will be to work with the team build queries and dashboards to interact with the database.

Education and Experience:
Graduate students preferred.
No formal engineering work experience necessary
Necessary Skills:
Excellent organizational skill required
Good communication skills, both written and oral
Ability to produce results in a dynamic work environment
Must be self-motivated in order to achieve assigned objectives with minimal supervision
Experience with LAMP, Access, SQL Server, etc necessary
Experience writing complex SQL queries required
Experience writing PHP required
Experience creating and architecting database required.
Excellent computing skills required
Musician or other audio background a plus
Other programming/scripting experience (C++, Lua, Python, etc.) a plus
Duties and Responsibilities:
Create relational database for large dataset
Populate database from excel files
Create queries/dashboards as required.",Electrical & Electronic Manufacturing,Manufacturing,"Costa Mesa, CA",Software/Data Science Intern,QSC,CA
7,"Job Description

We are in a data science renaissance. Companies that embrace data science will lead and those who do not will fall behind. To help IBM's clients lead, we are building an elite team of data science practitioners to help them learn how to succeed with data science. The team will include data science engineers, machine learning engineers, operations research / optimization engineers and data journalists.

The team will engage directly in solving real-world data science problems in a wide array of industries around the globe with IBM clients and internally to IBM. This elite team of data professionals will work with other IBMers and client data science teams to solve problems in banking, insurance, health care, manufacturing, oil & gas and automotive industries, to name a few. We will teach our client data science teams how to execute on key responsibilities.

Responsibilities:
Develop subject-matter expertise with clients we work with
Be a trusted partner to the analytics team, engineering team and enable them to use data to run analytics at scale and integrate analytics with product platforms
Engineer efficient, adaptable and scalable data pipelines to process structured and unstructured data
Enable analytics by building robust data sets that can power various ML techniques like regression, classification, clustering etc.
Who you are:
You share our passion for producing high quality work and continuously improving the ways we use data
You have a passion for intuitive data model and you are an expert in distributed data processing patterns.
You have experience in engineering data pipelines using big data technologies on large scale unstructured data sets
You have programming expertise: functional, scripting or object oriented
You excel at taking vague requirements and crystallizing them into scalable data solutions
You have demonstrated communication skills
Independent, self-starter, with demonstrated communication, collaboration and willing to learn passionately
Entrepreneurial drive and demonstrated ability to achieve stretch goals in an innovative and fast-paced environment.
Key skills:
Independent, self-starter, with demonstrated communication, collaboration and willing to learn passionately
Entrepreneurial drive and demonstrated ability to achieve stretch goals in an innovative and fast-paced environment.
Excellent problem-solving and analytical skills
Preferred Work Locations: Austin, TX, RTP, NC, NY & SVL

Required Technical and Professional Expertise
At least 3 years experience with relational SQL and NoSQL databases, including Postgres, DB2 event store, Cassandra, Neo4j. Familiarity with file formats such as Avro and Parquet is a plus
At least 3 years experience in: Python, Scala, Java, R
At least 3 years experience with big data compute: M/R, Spark, Beam, Flink etc.
At least 3 years experience with streaming ETL and analytics using Kafka
At least 1 years experience in orchestration and containerization technologies to instrument infrastructure as code: Kubernetes, Docker, Ansible.
Preferred Tech and Prof Experience
At least 1 years experience in team leadership and ownership
At least 2 years experience working on Agile team
EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",$10+ billion (USD),"Amazon, Accenture, Microsoft","Armonk, NY",Data Science Engineer,IBM,CA
8,"Unity believes interns are the future of our company! We are looking for bright, motivated and eager students to join the Unity team for the Summer of 2019. We are hiring in San Francisco, Bellevue, Austin, and Montreal. Unity University is a 12 week internship program full of meaningful projects, learning opportunities, mentorship, and even more fun! Through mentoring from fellow engineers you will gain tremendous experience in multiple functional areas, setting the stage for a career in computer science and engineering. Interested? Applications will be accepted until November 16, 2018 and reviewed on a rolling bases. Apply now!

What can I expect during my internship?
Duration: 12 weeks
Expected hours: Interns can expect to work 40 hours per week
Mentorship: Interns will be matched with managers and mentors to help with career development over the 12 weeks
Start dates: Interns will start in 2 cohorts with either a May or June start based on school schedule
Perks: Interns will receive competitive pay, housing assistance, commuter benefits, and an awesome work environment
Requirements
Junior or Senior standing or Master's or PHD student at an accredited University
Competitive GPA
Strong CS fundamentals gained through pursuit of degree in computer science, math, data science or related discipline
Previous internship experience or relevant industry experience
The following experience is relevant to us
Experience using Java, Ruby and/or Ruby on Rails
Experience using C#, C++, and SQL for backend
Experience using HTML/CSS, and Javascript for frontend
Bonus if you are familiar with Unity
What internships are available?
Backend Engineers
Cloud Services Engineers
Data Scientists
Full Stack Engineers
Graphics Engineers
Labs Engineers
Machine Learning Engineers
Research Engineers
Software and Infrastructure Developers
Technical Artists
Who We Are

Unity is the creator of the world's most widely-used real-time 3D (RT3D) development platform, providing content creators around the world with the tools they need to build rich, interactive 2D, 3D, VR and AR experiences. In fact, apps made with Unity reach 2.7 billion devices worldwide, and were installed more than 24 billion times in the last 12 months.

The global engineering team keeps Unity at the forefront of technology and working alongside partners like Magic Leap, Google, Facebook, Oculus and Microsoft ensures optimized support for the latest technology and platforms. Unity is powering the real-time revolution, expanding beyond games and breaking into other industries including automotive, film, architecture, engineering, construction and more.

Unity is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Headhunters and recruitment agencies may not submit resumes/CVs through this Web site or directly to managers. Unity does not accept unsolicited headhunter and agency resumes. Unity will not pay fees to any third-party agency or company that does not have a signed agreement with Unity.",Computer Hardware & Software,Information Technology,"San Francisco, CA","Software Engineering Internship, Summer 2019",Unity Technologies,CA
9,"Senior Manager/Director for Data Science
Location(s)


San Mateo, CA

Job Code

3799

# of openings

1

Apply Now

Job description

We are looking for a Senior Manager/Director for Data Science who is passionate about leading a team of data scientists to apply machine learning and statistics techniques to solve business problems. You will collaborate closely with engineering teams, PMs, cross functional business units and address a wide range of challenging problems using techniques from applied statistics, machine learning and/or data mining fields.

Key problem areas include the following:

Product Recommendation and Personalization: providing personalized product recommendations and user experience for sports fans in e-commerce sites as well as on emails.

Inventory optimization: forecasting demand and optimizing the quantity and location of inventory.

Product Search and Ranking: developing ranking schemes for products in online search and site landing pages to optimize site experience.

Pricing and promotions: models and algorithms for relevant pricing and promotions for products and customers over time.

Responsibilities

Recruit new talent, grow, motivate, mentor, and manage a team of data scientists

Define the research vision for data science, and oversee planning, resources, and prioritization to make sure the team is advancing that roadmap.

Deliver on concrete work that advances that roadmap.

Help develop and test predictive algorithms to be implemented as part of internal tools and customer facing applications such as product search, personalization, CRM Build solutions all the way from research to delivery on a large scale production system, collaborating along the way with other data engineering and product teams.

Qualifications

Professional experience as a data science leader, setting the vision for how to most effectively use data in organization, either through technical leadership as an IC with ownership over a research agenda, or developing a team as a personnel manager in a new area.

Expert-level experience with a wide range of quantitative methods that can be applied to business problems, including personalization, product search, product recommendations, fraud, inventory forecasting.

Strong algorithmic thinking and passion for empirical research to answer hard questions.

Excellent written and verbal communication skills on quantitative topics for a variety of audiences with ability to communicate complex quantitative analysis, analytic approaches and findings in a clear, precise, and actionable manner.

Expertise in designing and evaluating A/B experiments for new algorithms and monitoring key performance metrics, share the results with a wide audience.

Overall 10+ years of industry experience in data science and machine learning with few years of experience leading and managing data science projects and teams.

Bachelor’s or Master’s degree is required ( PhD preferred) in relevant fields such as Statistics, Machine Learning, Computer Science with Artificial Intelligence focus is preferred.",Sporting Goods Stores,Retail,"Jacksonville, FL",Senior Manager/Director for Data Science,Fanatics,CA
