,job_description,industry,sector,location,job_name,company_name,State
0,"Idexcel is seeking a Senior Sales Executive for Cloud, DevOps, Data Science & ML Solutions practice. This position will be responsible for acquisition & development of new customers, and be part of a high-performance sales organization. We are looking for someone who has a deep understanding of the technology and cloud industry, a proven record of accomplishment of selling cross a broad geography, and uses creative approaches that can help the Idexcel brand flourish. It is an exciting opportunity to help execute a vision to grow the Cloud Solutions Business for Idexcel.
Key Responsibilities
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.
Sales Hunter with proven ability to sell cloud solutions focused on Cloud, AWS technologies, DevOps & Data services.
Sell directly and close deals with Fortune 2000 companies, Mid-Market and startups owning and delivering on sales goals.
This is a high visibility, strategic, sales role, with quota. It is a new business generation role.
Develop and manage the overall sales strategies and related cadence and processes.
Develop and manage metrics/success criteria for all sales leads, programs, and activities.
Participate actively in the solutions and offerings definition and solutions development process.
Work with the executive team to identify and develop strategic alliances, and closely support major customers.
Represent the company at customer, partner, and industry events.
Develop highly engaged resources with a high level of business acumen that enhance the customer experience, demonstrate accountability, and achieve results
We are seeking candidates with the following qualifications:
BA/BS degree is required
MBA or Master’s Degree is strongly preferred
7+ years required of technology industry experience, preferably with solution sales experience selling to Fortune 2000 organizations to all levels of decision makers and influencers from technical contacts to C-level executives and senior management in mid-sized enterprises
Proven commercial experience in a new business sales environment, incorporating value/solutions service selling ideally within the IT Infrastructure / Technology sector. Ideally with experience in AWS and Azure Public Clouds.
Track record of significant referenceable deals closed with Fortune 2000 companies.
Experience in driving effective Go to Market Strategies in the technology market.
Team player as demonstrated by customer and professional references.
Exceptional interpersonal, presentation, negotiation, influencing and written/verbal communication skills.",IT Services,Information Technology,"Herndon, VA",Senior Sales Executive - Cloud /DevOps/Data Science & Machine Learning Solutions,Idexcel,MA
1,"ezCater is the #1 online - and the only nationwide - marketplace for business catering in the United States a $23.9 billion market. Our 3M+ on-time ratings and reviews, our 60K+ caterers and restaurants, and our 5-star customer service make it superbly easy for business people to find and order great food for their meetings. We're backed by Insight Venture Partners, Iconiq Capital, and Wellington Management. We're on a path to $1B in 2019, and we'll get there - even more surely if you come help us.

We are seeking an exceptional, data-driven individual to join our Data Science & Analytics team to focus on search acquisition analytics (paid and organic). You will contribute tremendous value to our business by providing advanced analytical support for our SEM (Search Engine Marketing) program that powers our global customer acquisition. You'll uncover insights that inform future digital marketing spend and strategy for both paid and organic search. Using data science techniques that include predictive modeling and machine learning, you'll test, evaluate, and recommend strategies related to automated bidding, landing pages, promotional strategies, and more.

What you'll do:
Perform analysis and reporting on all SEM campaigns under the guidance of our SEM program managers.
Develop analytical models to maximize revenue growth from search.
Predict ROI of SEM spend.
Evaluate results of A/B tests.
Prototype new bidding methods.
Explore and analyze different attribution models.
Ideally you have:

2 3 years of data science experience.
A results-oriented attitude which thrives on data and measurement.
Proficiency in data manipulation, cleansing and interpretation.
Close familiarity with SQL.
Strong problem solving skills with a pragmatic approach to addressing challenges.
Ability to work well with many types of people across global offices.
Comfortable with multi-tasking in a very fast-paced work environment.
Proficiency with a statistical programming environment (e.g. R, Python).
Experience with online auctions, A/B testing, digital advertising, or marketing analytics is a plus.
What you'll get from us:

Importantly, you'll get sane working hours and a huge amount of flexibility around work/life balance. Have people in your life of any age who always, often, or sometimes need your help? We make room for that. Have a bad thing or a good thing happen to you? We make room for that, too.

Oh, and here's what else you'll get: Market salary, stock options you'll help make worth a lot, the usual holidays, all-you-can-eat vacation, 401K, health/dental/FSA, long-term disability insurance, subsidized T-passes, a great office smack-dab in Boston's Downtown Crossing, a tremendous amount of responsibility and autonomy, wicked awesome co-workers, cupcakes (and many more goodies), and knowing that you helped get this rocket ship to the moon.

ezCater is an equal opportunity employer. We embrace humans of every background, appearance, race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, and disability status. At the same time, we do not employ jerks, even brilliant ones.",Internet,Information Technology,"Boston, MA","Data Analyst, Search",ezCater,MA
2,"TripAdvisor, the world’s largest travel site, is looking for a talented engineer to join our Data Science Platform team in Needham.

In this role, you’ll work with our Product, Engineering, and Data Science teams to drive and support large-scale machine learning for a range of products across multiple platforms. Experiences and Rentals at TripAdvisor has grown dramatically and now includes advanced analytics and machine learning tools in many of its products. We are growing to support the challenges of scaling these tools to massive volumes of data. As a Data Science Platform Engineer, you will contribute to defining the long-term platform roadmap and design solutions that operate at scale and have cross-team buy-in. You’ll be a hands-on contributor with the goal of delivering better insights into our users’ behavior while shipping models into production.

As the world’s largest travel site, TripAdvisor has big data with over 385 million reviews, opinions, photos, and videos reaching over 400 million unique visitors each month in 48 countries. We are highly metrics driven, and you will build tools that help us understand and analyze our data, then deliver actionable recommendations based on the activities of our millions of users. TripAdvisor is well known for having an extremely strong engineering organization - you’ll be working with the best and getting stuff done, in the fastest growing area of an incredibly profitable, growing, fun company.

We are looking for engineers early in their careers or just getting started, who can iterate with peers and stakeholders to deliver high-quality work quickly. We’re looking for team members who will invested in the success of their customers, and who want to be a part of a fun, energetic team that is part of a strong engineering organization.

Qualifications
You have a BS or MS in Computer Science or equivalent, and 1-3 years in industry.
You have a strong foundation in data structures, algorithms, and OO design, with solid programming and problem-solving skills.
You have experience with coding in Python. Java experience is a plus.
You want to work with technologies such as Docker, kubernetes, Hive, BigQuery, AirFlow, and others.
You have good interpersonal and analytical skills.
You have a passion to ""get things done"".
You want to work in a rapidly changing, collaborative, and iterative development environment.
*LI-MS1",Internet,Information Technology,"Needham, MA",Data Science Platform Engineer,TripAdvisor,MA
3,"Create dashboards, reports & tools to audit & measure data and data integrity throughout data warehouse environment
Analyze discrepancies in data patterns & anomalies to tie to effective root cause & raise it up for resolution
Create effective reporting tools & visual interfaces on top of our data quality monitoring framework (iCEDQ
Help complete materiality analysis for the data teams (dev, dqa & ops
Create & manage traceability reports for Data Engineering team operations
Requirements

5+ Years of working with Tableau

5+ Years of working with Oracle, SQL Server databases

3+ Years of working on Data warehouse / ETL Environments

Exposure to Informatica or similar ETL tools

Experience in data story telling

Experience working in fast paced Agile delivery teams

Preferred:

Performance tuning of complex queries

Self-starter, fast learner , quick mover & team player

Business & system analysis skills

Benefits
Significant personal travel discounts & deals
MBTA T pass subsidy of 75% or Parking subsidy of 25%
Generous Paid Time Off program & company holidays
Flexible work options to support work life balance
Maternity and Paternity leave
Paid Sabbatical at 5 years and 10 years
Wellness program with on-site Health Coach, fitness center & complimentary fitness classes
Casual Dress code every day!",Travel Agencies,Travel & Tourism,"Boston, MA",Senior Data Analyst,Grand Circle Corporation,MA
4,"Want to join a team of passionate engineers who are excited to work at the intersection of fitness and mobile technology? Come join our team, a Boston-based mobile company with more than 55M users worldwide. A little bit about our app, Runkeeper transforms your phone into a personal trainer, helping you track your activities, set your goals, and stay motivated to go that extra mile.

We are looking for a Data Engineering Co-op to work on consolidating key data for the entire ASICS organization into our cloud-based Data Warehouse, Snowflake. During this initiative, you will get to work with several interesting technologies and solutions to bring our ETL framework into production. You will work in an integrated Scrum team with other full-time Data Engineers, Data Analysts, and Data Scientists.

And lastly, while we are a fast moving company, many of us are not fast (or even moderately fast) runners. The idea of helping make the world a healthier place is the most rewarding piece for us.
Potential projects you could work on
Consolidating ASICS data with Runkeeper data into our Data Warehouse
Learning and playing with the latest DevOps techniques like containerized solutions
Designing solutions on how to consolidate multiple sources of data for consumption
Collaborating on personalization initiatives for engaging users with our new fitness app and other ASICS services
What you'll do
Hands-on design and development in our cloud native Data Warehouse, Snowflake
Hands-on development in Amazon Web Services services and solutions for delivering software
Develop ETL (Extract Transform and Load) processes for Data Ingestion purposes
What you bring to the table
Currently enrolled in a BS/MS program in Computer Science or equivalent
Experience with a couple of the following: Java, Python, SQL, Containers
One other perk of the job?? 50% of ASICS gear. Best in class sneakers, athletic apparel, and training gear .. or just for building up a huge sneaker collection.

ASICS Digital is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status, or fitness level.",Computer Hardware & Software,Information Technology,"Boston, MA",Data Engineer Co-op,ASICS Digital,MA
5,"Bain & Company is one of the world's leading global business consulting firms, serving clients across six continents. It was founded in 1973 on the principle that consultants must measure their success in terms of their clients' financial results. Bain's clients have outperformed the stock market 4 to 1. With offices in all major cities, Bain has worked with over 4,150 major multinational and other corporations from every economic sector, in every region of the world.

A career at Bain & Company will provide the opportunity to learn in a collaborative teaming environment, drive impact to support our 'Results' mission statement. The firm has a passionate and rich culture that offers an unparalleled business experience that can carry throughout a career. We hire dynamic individuals that are dedicated to achieving both personal and professional goals. To learn more about the firm, please visit www.bain.com.

Position Summary
This is an opportunity to be a key leader in Bain’s expanding data science capability area. This position will be part of the Advanced Analytics Group (Bain’s team of data science, engineering, marketing science, operations research and primary research experts).
Responsibilities will include working closely with the Advanced Analytics Group (AAG), Bain Partners, Bain Practice Areas, and the Technology Services Group (TSG) to extend and innovate our data and analytics capabilities.
This will include helping formulate and driving our evolving strategy on how to best support our clients on large data/heavily analytic initiatives.
Serve as Advanced Analytics expert on Advanced Analytics strategy cases
Be an expert advisor in proposal discussions
Demonstrate fluent understanding of major ERP, CRM, Data warehousing, Relational and Non-Relational Database systems; and have familiarity with new applications and technology in unstructured data storage and query solutions.
The person in this role will need to:
Communicate effectively with analytics/data experts as well as business managers to assess opportunities and develop data driven solutions for Bain clients across a variety of sectors;
Translate business objectives into data and analytics solutions and, translate results into business insights using appropriate data engineering, analytics, visualization & dashboard applications;
Help develop Advanced Analytics Intellectual Property and identify areas of new opportunity for data science and analytics for Bain and its clients
Communicate with and educate both senior and junior colleagues to further embed data science and analytics across the firm and within our clients;
Advise Bain clients and consulting teams on data strategy, analytics strategy, and data science best practices
Manage 1-3 Data Scientists
This position will be located in Boston, Atlanta, Washington D.C., Chicago, or Dallas

Responsibilities
Work with consulting teams to understand business problems, translate them into data science projects and appropriately prioritize and execute.
Help to increase consulting staff’s knowledge of Advanced Analytics and Data Science.
Develop and/or implement tools for data acquisition, extraction, transformation, management, and manipulation of large and complex data sets.
Explore, model, mine, and experiment with data to answer critical business issues.
Support and train consulting teams in use of data and visualization tools to generate and communicate insights.
Train relevant AAG team members to support big data/data science initiatives.
Develop relationships with external data and analytics vendors and interact with as needed.
Provide training, documentation and other assistance to Bain’s consulting staff to support and expand the use of data science analytics.
Keep abreast of new and current data science techniques and technologies.

Qualifications
Advanced degree in a quantitative discipline such as Computer Science, Statistics, Mathematics, Engineering, Computer Science, Econometrics or Information Sciences such as business analytics or informatics.
6+ years’ experience in data mining, predictive modeling, machine learning, statistical modeling, large scale data acquisition, transformation, and cleaning, both structured and unstructured data.
Track record of leading and collaborating on strategic initiatives.
Strong team and business communication skills – can walk through approach with technical clients or explain tricky concepts to non-technical people
Ability to collaborate with people at all levels and with multi-office/region teams.
Must thrive in a fast paced environment and be able to work independently.
Travel required
Strategic consulting experience a plus.
Proficiency in R or Python required
Solid SQL skills and experience in relational databases/data warehouses is desired
Experience with dashboards, business intelligence tools, and visualization solutions (e.g., Tableau, Qlik, Shiny) is desired
NoSQL database experience is a plus
Proficiency in any of SPSS, SAS, or Spark is a plus
Experience in machine learning frameworks and tools (e.g. scikit-learn, mlr, caret, H2O, TensorFlow, MXNet, PyTorch, Caffe/Caffe2, CNTK, MLlib) is a plus
Experience with cloud platforms a plus.
Experience with Primary Market Research and Operations Research a plus.",Consulting,Business Services,"Boston, MA",Data Science Manager,Bain & Company,MA
6,"We are looking to hire a Data Analyst to join our Data Analytics team. You will take responsibility for troubleshooting data issues, developing reports, and managing our master data set. In order to succeed in this role, you must be comfortable working with others in a fast-paced environment. In addition, you will need an eye for detail, experience as a data analyst, and a deep understanding of Microsoft SQL Server and Microsoft Excel. The successful candidate will have a strong work ethic and a data-driven approach.

This position is entry level and will offer a salary range between $48,000 and $50,000 per year depending on experience.

DUTIES AND RESPONSIBILITIES
Work closely with service operations team to evaluate and price overpayments for our clients.
Generate reports to highlight current state of business operations.
Training end users on new reports and dashboards.
Providing technical expertise on data storage, data mining, and data cleansing.
Supporting initiatives for data integrity and normalization.
Loading, cleaning, and manipulating data from multiple sources including internal, external, and 3rd parties.
QUALIFICATIONS
Bachelors degree in MIS, CS, Statistics, Mathematics or related field, new grads welcome to apply!
Proficiency in basic SQL commands and queries, preferred but not required.
Strong analytical and quantitative skills.
Keen understanding of relational database theory, preferred but not required.
Must be a self-starter and eager to learn.
Excellent communication skills, both written and verbal.
Demonstrated ability to build relationships and work as part of a team.
Must be authorized to work in USA.",Health Care Services & Hospitals,Health Care,"Indianapolis, IN",Data Analyst,Equian LLC,MA
7,"Position Title: Manager, Analytical Chemistry
Job Location(s): Agawam, MA
Start Date: ASAP
Employment Type: Full Time
Starting Salary Range: Competitive
Job Requisition #: 17001

Avista Pharma Solutions is a contract testing, development and manufacturing organization (CDMO) encompassing over 200,000 square feet of laboratory and manufacturing space in the U.S. and the U.K. (Agawam, MA – Durham, NC – Longmont, CO – Edinburgh, Scotland), providing pharmaceutical, animal health and medical device clients with a broad suite of scientifically-differentiated services.

DUTIES:
As Manager of Analytical Chemistry, you will oversee the day-to-day operations of the analytical chemistry laboratory.
You will be responsible for ensuring all testing is completed in a timely manner, following written procedures in a cGMP compliant environment, and managing quality events.
You will ensure the laboratory is maintained in an audit ready state, review data for accuracy and completeness, and write technical documents (e.g. reports, protocols, test procedures, SOPs, etc.).
As Supervisor / Manager of Analytical Chemistry, you will oversee analysts’ testing of pharmaceutical samples and ensure analysts receive and are current with training necessary to perform the testing required.
Additionally, you will supervise compendial method verifications and method transfers.

QUALIFICATIONS:
Bachelor’s Degree (or advanced degree) in Chemistry or related science field required.
4+ years of experience in a GMP analytical chemistry testing laboratory.
Experience in a supervisory role.
Experience supporting compendial testing (USP, EP, JP, ACS, FCC, etc.) for wet chemistry, chromatographic, and spectrophotometric analyses.
Experience performing root cause analysis for quality events.

SUCCESS FACTORS:
Communicate clearly and effectively both orally and in writing with clients and other employees.
Goal-oriented, with ability to prioritize and manage multiple tasks and numerous projects in a fast-paced environment.
Strong problem solving abilities.
Ability to review, compile, and analyze information to prepare reports.

Avista Pharma Solutions is an Equal Opportunity / Affirmative Action employer and will consider all qualified applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Durham, NC","Manager, Analytical",Avista Pharma Solutions,MA
8,"bluebird bio is a company that puts patients and its people first.

We are a clinical-stage company committed to developing potentially transformative gene therapies for severe genetic diseases and T cell-based immunotherapies. The company aims to develop and bring to market the most advanced products based on the transformative potential of cell and gene therapy to provide patients hope for a better life in the face of limited or no long-term safe and effective treatment options.

We have been consistently voted one of Boston Business Journal's ""Best Places to Work"". You can expect to join a team of motivated, inquisitive scientists that recognize the value of working hard, but also do not take themselves too seriously.

The Senior Associate Scientist will be an integral part of bluebird's data sciences team. The team works across research, clinical, and pharmaceutical sciences to advance our gene therapies by leveraging expertise in bioinformatics, statistics, machine learning, disease biology, molecular biology, and human genetics. In this highly collaborative role, you will partner with biologists to analyze next generation sequencing (NGS) data, building analysis pipelines, and mine public and in-house data sets.

This position offers a unique opportunity to leverage bioinformatics, statistics, and data sciences to make an immediate impact on the efficacy and safety of our cell and gene therapies with the ultimate goal of improving patient lives.

About the Role:
Learn about the needs of the biology teams and proactively suggest new ways data sciences can impact research and discovery projects.
Work with project teams to mine and distill NGS data to select novel cancer targets and to understand the mechanism of action of our gene therapies.
Develop and maintain pipelines for sequencing analysis, e.g. bulk and single cell RNAseq.
Visualize data to explain the findings to a large cross-functional team and/or the outside stakeholders.
Improve and automate megaTAL nuclease off-target profiling workflows.
Apply machine learning methods to predict megaTAL off-target activity and correlate it to structure of the protein.
Be a key member of the data science team.
About You:
Have a passion for performing science that will directly improve the lives of cancer patients or patients with severe genetic diseases.
BS with at least 5 years of experience or MS with at least 3 years of experience.
Excellent command of Python.
Working knowledge of R, shell scripting and git version control.
Understanding of molecular biology and being able to communicate with cross-disciplinary project teams.
Knowledge of core concepts concerning data analysis and applied statistics model testing, regression, classification and clustering methods.
Excellent organizational skills, sufficient to multi-task in an extremely fast-paced environment with changing priorities.
Excellent communication skills and ability to influence across multiple functions.
Ability to navigate and be successful in a fast-paced, highly-matrixed work environment.
Willingness to embrace and demonstrate the principles of the bluebird bio culture: b colorful, b cooperative, and b yourself.",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Cambridge, MA","Senior Associate Scientist, Data Sciences",bluebird bio,MA
9,"Job Description

The life sciences are in the midst of a data revolution. Cheap and accurate genome sequencing is a reality, high-resolution imaging is becoming routine, and clinical data is increasingly stored in machine-readable formats. These breakthroughs have brought us to the threshold of a new era in biomedicine, one where the data sciences hold the potential to propel our understanding and treatment of human disease.

The Broad Institute’s Data Sciences Platform sits at the center of this transformation. Our team is charged with building a suite of sophisticated software products to serve both the Institute and the world. We play a pivotal role in flagship scientific efforts such as the All of Us Cohort Program and the Human Cell Atlas, and we collaborate with world leading technology corporations, philanthropic organizations, and pharmaceutical companies. Together, these activities make us a leading organization at the intersection of the life sciences and data sciences.

We seek an energetic and engaging individual that can help steer our ship. The Head of Analysis Platforms directs and coordinates activities across technology, engineering, product and project groups within the Analysis Platform team. This team builds open-sourced software products that help human geneticists and epidemiologists generate to biomedical insights faster. This person will be responsible for all “business operations” of the team with a large focus on future planning and strategy, hiring, cross-functional efficiency, and new business development.

Responsibilities
Lead the Analysis Platform team: You will be responsible for a cross-functional team of 85 people and an operating budget of $20M. Your direct reports will include senior leaders across architecture, engineering and product.
Drive the vision and strategy for our team: Partner closely with DSP, Broad leadership, and strategic partners to articulate the value of what we’re building for the world. Turn it into cross-functional timelines for the teams, and motivate them to action. You will serve as a path of escalation for critical strategic decisions and problem solving as needed.
Inspire team accountability: You are responsible for building a culture of performance measurement. You will also be responsible for negotiating and achieving annual performance goals tied to revenue.
Build a culture of leadership: Help us grow the next generation of leadership and build shared values that empower individual teams and members. Be a champion for people development and conflict resolution.
Optimize our resources: Have purview over our overall budget, hiring, and resourcing plans, with an eye toward sustainable growth over time.
Requirements
Demonstrated success leading and influencing large cross-functional teams in sustained growth.
Experience managing and mentoring senior leaders.
Direct P&L Responsibility.
Excellent communication and organizational skills.
Demonstrated evidence of outstanding relationship-building skills.
Passion for the intersection of life sciences and technology, with a desire to represent us to the biomedical community at conferences such as ASHG, AACR, and ASCO.
Energetic and engaging personality; ability to form strong personal connections and naturally build partnerships with others.
Willingness to travel (approximately 2 trips/month).
BA or equivalent
#LI-POST

EOE / Minorities / Females / Protected Veterans / Disabilities

EEO is The Law - click here for more information

Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Cambridge, MA","Head of Analysis Platforms, Data Sciences",The Broad Institute,MA
