,job_description,industry,sector,location,job_name,company_name,State
0,"Seeking a Jr. Data Analyst (Data Assurance) ~ Jersey City, NJ

Enterprise Banking Environment

Job Description:
The scope of the role includes creating customer statements for various bank products, particularly Loan and including special handling (imperative during peak times); developing knowledge of customer products and services, (loan and derivatives); creating relationships with business lines and understand their customer base, (direction and sensitivity base); creating opportunity for streamlining by automating reporting using the bank's data repository; and supporting meetings/projects to improve customer satisfaction and business performance.

Duties:
Create customer balance confirmations, whether logging, scheduling, new or ad hoc requests; including special handling.
Maintain customer email maintenance and scheduling in Client Web Portal as well as scheduling client in Business Objects.
Communicate with unit manager on statement processes and delays in SLA.
Manage workflow with unit manager on peak months; Jan, Feb, Apr as well as first business day of the month and quarter ends.
Support customer statement projects and testing
Take urgency and order to client questions and issues as they relate to reporting
Support other units with ad hoc requests (static data entry, reporting and reconciliations) * Improve and streamline processes where possible and propose solutions.
Develop subject matter expertise in Business Objects and Data Warehouse, create reports using scheduler, maintain procedures.
Maintain and update customer documentation/procedures as needed and annually, identify differences by Branches (LA, Chicago, NY), US and Japan.
Job Types: Full-time, Contract

Salary: $20.00 to $25.00 /hour

Work authorization:
United States (Required)",Staffing & Outsourcing,Business Services,"Houston, TX",Jr. Data Analyst (Data Assurance) ~ Entry Level,Genuent,NJ
1,"Category: Other Area(s)
Location: Englewood Cliffs, New Jersey

Hi,

My Name is Archana and I'm a Technical Recruiter working at Data Inc. We have an immediate need of Junior Data Analyst for a Long Term Consulting Assignment with our Direct Client in Englewood Cliffs, New Jersey 07632. If you are looking for a new opportunity,...

Details
Apply",IT Services,Information Technology,"Montvale, NJ",Junior Data Analyst,DATA Inc.,NJ
2,"The candidate for this position shall be responsible for processing database integration from multiple file and database formats (flat files, excel, Oracle, SQL, etc.).
The Data Analyst shall develop documents and scripts supporting load methods, data verifications, and testing methods.

SDL2017",Consulting,Business Services,"Chantilly, VA",metrics Data Analyst / Database Developer,Engility Corporation,NJ
3,"The Data Management Department is responsible for managing Chubb’s foundational data assets, such as reference data, master data, data quality and metadata. This position requires foundational technical and analytical capabilities and a quick learner.

Primary Job Responsibilities:
Assist with Reference Data Analysis
Prepare and maintain appropriate reference data process documentation.
Review JIRA request trackers and provide updates.
Provide backup support for the reference data platforms as needed.
Assist with monitoring the demand pipeline and follow up with business asks.
Assist with data analysis and respond to data requests, e.g., to satisfy SOX audits
Learn and leverage reference data delivery processes and utilize reference data platforms to maintain data.
Provide timely and accurate reporting of progress, status, and issues. Be proactive, self-motivated, detail-oriented, creative, inquisitive and persistent.
Assist with setting up and managing reference data user profiles and user groups.
Prioritize and manage assignments; deliver quality results on target.
Recommended Qualifications:
Bachelor’s degree, preferably in Computer Science or related discipline.
1 year of data analysis and/or application development experience preferably data from databases, flat files and XML (this experience could be from college courses and/or internships)
Working knowledge of SQL
Excellent PC skills including proficiency with all Microsoft suite products
Familiarity with any reference data management concepts and/or tools is a plus.
Strong ability to learn and leverage new technologies quickly and appropriately.
Strong analytic and problem solving skills.
Solid verbal and written communication skills.
Proactive self-starter who demonstrates a high level of productivity.
Insurance industry knowledge and/or experience is a plus.
Strong team emphasis and relationship building skills
Ability to work under pressure of tight deadlines",Insurance Carriers,Insurance,"Chicago, IL",Jr Data Analyst,Combined Insurance,NJ
4,"Jr. Data Analyst (Data Assurance) Jersey City, NJ.

Enterprise Banking Environment

1-2 years experience

Description: *
Team member within On-boarding and Maintenance/Data Assurance Department/Middle Office Group Daily Production Workflow
Initiate workflows to update customer records within the bank's internal on-boarding system including set-up in transactional systems and deactivations
Ensure that documentation meets internal policy and guidelines on customer data
Maintain detailed tracking of customer files for modifications
Serve as a Subject Matter Experts (SME) for core internal bank system and department procedures KYC
Execute new, ad-hoc and reassessment KYCs of existing Corporate customers to ensure that KYC has been completed for all customers by specified deadlines; conduct needed research to verify and document KYC file contents.
Coordinate with the Front Office for data quality issues.
Improve and control data quality within core internal bank system Maintain and ensure compliance with Dept. procedures & overall bank policies
Experience/Abilities:
At least 2 years' experience as Front Office support personnel in a financial institution with products (i.e. derivatives, securitization, syndication) and operations (Front or Middle Office) knowledge
Solid knowledge of KYC/AML and data governance policy
Solid understanding of business activities, compliance / risk issues
Excellent written and verbal communication and presentation skills in English
Strong analytical ability and attention to detail
Strong time management, prioritization, work organization and multi-tasking skills
Effective Internet and research skills
Strong Proficiency in MS Office Suite - especially Excel with ability to do things like VLOOKUPs, Pivot Tables, and manipulate formulas
Second language is a plus (esp. Spanish/Japanese)
Job Types: Full-time, Contract

Salary: $20.00 to $25.00 /hour

Experience:
KYC - KNOW YOUR CUSTOMER: 1 year (Required)
Banking: 1 year (Preferred)
Data Analysis: 1 year (Required)
Work authorization:
United States (Required)",Staffing & Outsourcing,Business Services,"Houston, TX",Jr. Data Analyst (Data Assurance),Genuent,NJ
5,"Financial Data Analyst - Jersey City, NJ

Large Enterprise Banking Company
Perfect for someone with 2-3 years of Finance Date experience

Reports to Data Assurance Department, responsibilities include
Analyze reference data for anomalies and support remediation
Business analyst support for requirements for new process of managing Cost Centers and GL's (all reference tables), write flows for each table.
Process onboarding of clients in source systems, as well as Dodd Frank attributes
Support new Client Web Portal Project
Identify operational control gaps to implement change and smart workarounds.
Ability to analyze data using Access/Excel/SQL, build reconciliations if needed
Write procedures for operating manual, attend meetings and gather meeting minutes for stake holders.
Use exceptional organization skills in preparing accurate and completed results from test execution situations
Ad-hoc requests to support production work for the team.
Skills required
Excellent organization skills, strong communication, experience working on mid-size projects including data and business workflow analysis.
Solid understanding of banking products and operations.
Strong technical competence in data analysis and database tools, Intermediate Advanced Excel Skills, Dodd-Frank regulatory knowledge a plus, product knowledge (FX, FX Options, Rates)
Experience requirement: Bachelor degree with 2 years of work experience in the Finance/Banking with Projects. Banking industry experience and knowledge of banking organization, operations and technology, including experience in compliance with banking regulations and Risk.

Job Types: Full-time, Contract

Salary: $30.00 to $40.00 /hour

Work authorization:
United States (Required)",Staffing & Outsourcing,Business Services,"Houston, TX",Financial Data Analyst ~ Large Enterprise Banking Company,Genuent,NJ
6,"Chubb is the world’s largest publicly traded property and casualty insurer. With operations in 54 countries, Chubb provides commercial and personal property and casualty insurance, personal accident and supplemental health insurance, reinsurance and life insurance to a diverse group of clients. The company is distinguished by its extensive product and service offerings, broad distribution capabilities, exceptional financial strength, underwriting excellence, superior claims handling expertise and local operations globally.
About Chubb’s Information Technology Early Career Development Program

Chubb is looking for professionals with a Bachelor’s Degree to join our Early Career Development Program. This is a permanent full-time position and a compelling opportunity to join a global, growing, financially stable and successful company. As the industry leader, Chubb is an employer of choice for students aspiring to develop a meaningful career in a fast-paced, diverse company with offices in most major US cities.

Chubb's Information Technology group manages all of our critical business systems and data including, for example, information about customers, rates, premium and expenses. Our Information Technology team is dedicated to creating competitive advantages in products, customer services and business costs by driving digital transformation in our business with a modernized focus on agile methodology and data analytics.

At Chubb, we have designed our Early Career Development Program to hone your skills and talents, to help you reach your career goals. By joining the Chubb Early Career Development Program, you will be part of an experience that supports the well-rounded development of critical business skills which in turn contributes to the future success of our company. Our blended program is designed to include hands-on business assignments in a variety of disciplines, interactive classroom instruction, team assignments and direct interaction with many of our senior executives. As part of this program you will receive:
Business training unique to a career at Chubb;
Technical training to deepen your skill level within your chosen discipline; and an understanding of our broader industry;
Interpersonal effectiveness training to help you gain strong communication and interactive skills;
Access to additional training to compliment your professional development.
Position Summary: This Data Analyst role is a critical IT position responsible for data forensics that supports key business functions.

Primary Responsibilities:

Interpret data and analyze results using statistical techniques. Developing and implementing data analyses, data collection systems and other strategies that optimize statistical efficiency and quality.
Generate useful business reports.
Perform and document source to target mappings.
Collaborate with Project Managers and Business Analysts to manage business partner expectations.
Analyze and document data requirements for business requests while using industry standard analysis techniques such as business process modeling, data flow modeling, workflow analysis, and functional decomposition analysis.
Collaborate with technical resources to provide input to the solution design.
Work with business partners and project teams to help define acceptance criteria.
Work with business partners to determine specific data needs.
Partner with the testing team regarding test strategy and approach to ensure that the designed solutions satisfy the business requirements.
Plan data analysis activities, develop estimates for data analysis tasks, and remain accountable for managing to those estimates.

Position Qualifications:


0-2 years relevant work experience
Bachelor’s Degree in Computer Science, Information Technology, Information Systems, Computer Engineering, Software Engineering, or a related field.
Highly organized, possessing strong analytical abilities
Strong data validation and reconciliation skills
Excellent written/verbal skills
Gap analysis skills
Working knowledge of SQL, Excel, PowerPoint and Word required.
Ability to interact well with various levels of the organization and establish positive relationships
Ability to quickly learn project processes and their incorporation into the tools utilized.
Detail orientated and thorough, with the ability to meet aggressive deadlines
Pro-active with issue identification, resolution and documentation
Works successfully in a team environment and independently
Flexible and effective at multi-tasking
Ability to quickly adapt to change
LOCATIONS:

Whitehouse Station, NJ
Philadelphia, PA
Who are we looking for?

Successful professionals at Chubb come from many backgrounds and experiences and bring that rich diversity with them to our company. They also have some things in common and these attributes will lead to your success at Chubb:
Results orientation: a demonstrated ability to meet commitments under pressure
Practical intellectual adaptability: capable and successful at adapting to new knowledge
Personal capacity: accepting and welcoming of additional responsibility over time
Communication skills: an ability to communicate successfully in various settings
Interpersonal/team skills: works effectively with colleagues at all levels
Self-leadership: an ability to take full ownership of work and show initiative as needed
Client focused: understanding of the needs of customers and clients
Work ethic: a commitment to hard work and a high ethical conduct
Chubb offers a competitive compensation package and comprehensive benefits package including life, health and dental, vision, a generous retirement savings plan, disability coverage, stock purchase plan, flexible spending accounts, tuition reimbursement, and business casual dress. At Chubb, we are committed to equal employment opportunity and compliance with all laws and regulations pertaining to it. Our policy is to provide employment, training, compensation, promotion, and other conditions or opportunities of employment, without regard to race, color, religion, age, sex, sexual orientation, transgender, national origin, disability, genetic information, veteran or marital status, or any other characteristic protected by law.",Insurance Carriers,Insurance,"Chicago, IL",Chubb Associate Program - Junior Data Analyst,Combined Insurance,NJ
7,"Description

Responsible for leading effort in centralizing a performance metrics function including defining and contributing to strategies and tool sets. This candidate will lead a team of analyst who will work with capability owners, governing core business processes, and providing expertise in the methodology utilized to ensure continual improvements. This candidate will liaison across senior management and key stakeholders both inside and outside the Technology Services Group (TSG). Candidate will lead the next generation of performance measurement for infrastructure technology for BNY Mellon.

Position Summary

Manages multiple teams across business segments responsible for the production and reporting of strategic measurements that demonstrate the value and effectiveness of the TSG organization.

Primary Responsibilities

· Drives strategies on tool sets

· Liaison and integration with automation and monitoring teams

· Work with process teams to tie metrics to processes

· Drive strategy of cataloging, architecting and defining the design of the metrics ownership, and golden source data pools to ensure metrics are relevant, targeted and accurate for transparent consumption cross all levels of the organization

· Drive the communication strategy of TSG metrics across the TSG Organization and stakeholders

· Drive the training strategy of the metrics team for the democratization of data across the core metrics team and all parties involved in producing, reviewing, and consuming metrics

· Aligns teams with appropriate business and functional counterparts and ensure they have a strong understanding of business and functional strategies, objectives, and tactics to develop a comprehensive measurement plan

· Understands business and operational strategies and identify critical metrics required to support those strategies. Establishes business unit strategies to support larger initiatives. Develops corresponding visions and values

· Increase the focus on analytics with greater insight while emphasizing the development of subject matter expertise within analyst teams based on functional alignment

· Identifies areas of opportunity and improvement within processes and tools based on reporting results and tool environments. Works across functional lines to strive for and ensure consistent data quality

· Connects the dots across technology services and capabilities to identify opportunities to merge disparate metrics into a comprehensive metrics program for greater impact on service improvement

· Recruits, directs, motivates and develops staff, maximizing their individual contribution, their professional growth and their ability to function effectively with their colleagues as a team

· Must manage multiple simultaneous projects and prioritize assignments and tasks accordingly, remaining flexible to changing priorities and new initiatives

· Contributes to the achievement of the overall organization objectives

Sr.Group Manager, Metrics and Analytics->> Manages multiple teams across business segments responsible for the production and reporting of strategic measurements that demonstrate the value and effectiveness of the CTS organization. Aligns teams with appropriate business and functional counterparts and ensures they have a strong understanding of business and functional strategies, objectives, and tactics to develop a comprehensive measurement plan. Understands business and operational strategies and identifies critical metrics required to support those strategies. Puts in place business unit strategies to support larger initiatives. Develops corresponding vision and values. Increases focus on insight and analytics and emphasizes development of subject matter expertise within analyst teams based on functional alignment. Identifies areas of opportunity and improvement within processes and tools based on reporting results and tool environment. Works across functional lines to strive for and ensure consistent data quality. Recruits, directs, motivates and develops staff, maximizing their individual contribution, their professional growth and their ability to function effectively with their colleagues as a team. Manages multiple metrics and analytics teams. Contributes to the achievement of multiple teams' objectives.

Qualifications

Advanced degree in a related discipline or equivalent work experience required. 12+ years of related experience required, experience in the securities or financial services industry is a plus.

· Organization skills.

· Experience in leading multiple teams and guide overall organization in approved strategies

· Preferred experience with BI/Database/ETL/Visualization tools: Splunk, R, Qlik, Trifacta, KNIME, Informatica, Business Objects, SAS, Cognos, Oracle Warehouse Builder, SAS Data Management, Informatica Powercenter, SQL Server Integration Services, Hadoop, SQL, JSON, XML, noSQL, text mining, Tableau, Tableau Prep, Alteryx

· Knowledge in the understanding of enterprise database tools and data ecosystems

· Preferred experience with Data Science, Data Visualization, Business Intelligence, Business Analytics, Statistics, data architecture, machine learning, systems engineering critical thinking, math, risk analysis

For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.

Client Technology Solutions provides our business partners with client-focused, technology-based solutions. These enhance their ability to be successful through world-class software solutions and leading-edge infrastructure. Client Technology Solutions provides employees with the tools and resources to enhance their professional qualifications and careers.

BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.
Minorities/Females/Individuals With Disabilities/Protected Veterans.

Primary Location: United States-New Jersey-Jersey City
Internal Jobcode: 45320
Job: Information Technology
Organization: Technology Services Group-HR06725
Requisition Number: 1715985",Investment Banking & Asset Management,Finance,"New York, NY","Senior Group Manager, Metrics & Analytics",BNY Mellon,NJ
8,"Insmed understands that its most valuable resource is its employees. We place great value on the unique skills, talents and qualities that each of our employees brings to our company. We are building a world-class team with a focus on innovation, teamwork and the desire and ability to change the way our patients live.

Insmed is a fast-paced, high-energy organization that seeks talented individuals who are leaders in their respective functional areas of expertise, who are creative problem solvers and who have the desire to make a difference.

This position is responsible for managing operational aspects of the ongoing stability program, as well as implementing new stability studies. In addition, this position is responsible for data management and trending of all release data.

This includes management of stability samples and review of data from contract labs, ensuring policies and procedures are up to date and followed to provide an audit ready GMP work environment, and working with IT personnel to ensure LIMS and associated software meets the needs of the stability group. Coordination of testing for both release and stability samples, as well as subsequent data management.

This position reports to the Associate Director of Analytical Services and is located at the Insmed Corporate Headquarters located in Bridgewater, New Jersey.

RESPONSIBILITIES
Upholds the operations area to highest standards of quality, safety, and security
Oversees testing being performed by contract laboratory(s) to ensure testing is completed within the contracted time frame, all investigations are properly closed out, and communicates delays to management and to the manufacturing sites
Ensures stability samples are pulled and tested within the applicable time frame
Compiles data received from contract laboratory, reviews, trends, and uploads data to Electronic Data Management System(s)
Alerts Management of any out of trend or out of specification data immediately upon discovery
Point person for stability software and LIMS (Laboratory Information Management System) / IT Systems. Works with IT staff, acts as subject matter expert and supports change control, as needed
Stability software and LIMS user and eventual subject matter expert for the group
Authors user requirements and manages new software version testing for release and stability trending
Tracks Product programs schedule vs. Actual Timing
Responsible for Stability Program status (study starts, workload distribution, metrics, etc).
Monitors delivery of approved results in accordance with Quality Service Agreements
Develops and manages continuous improvement projects
Conducts problem solving and troubleshooting to resolve issues related to Operations, Quality, or LIMS
Assists with quality investigations and implementation of CAPAs (Corrective and Preventative Actions) with the Quality Assurance Department
Manages procedural document creation and revisions when required
B.S. degree in the Life Sciences (Biology, Chemistry, Pharmacy), Engineering, or in a related science area, with a minimum of five (5) years of experience in the pharmaceutical industry.
Broad experience and depth of knowledge in pharmaceutical quality control and stability operations, quality systems and LIMS operation. Statistical evaluation of data is a plus.
The successful candidate will be a self-starter and have demonstrated ability to make decisions independently.
Must have strong organizational/follow-up and planning skills
Good interpersonal and communication skills (verbal and written)
Attention to detail and ability to work within safety procedures
An understanding and knowledge of quality systems, documentation practices, and equipment IQ/OQ/PQ in a cGMP regulated environment is required
Functional understanding of the pharmaceutical product development process is desired
Basic understanding of mechanical systems and electronics in order to communicate effectively with environmental chamber and monitoring equipment maintenance and metrology personnel
Working knowledge of CFR 21Part 11
Should demonstrate the ability to identify problems, understand potential sources of error, and perform troubleshooting where necessary
Excellent communication skills (verbal and written).
Highly organized with strong attention to detail, clarity, accuracy and conciseness.
Highly proficient in Microsoft Office (Word, Excel, PowerPoint, Outlook) and Adobe.
All your information will be kept confidential according to EEO guidelines.

SDL2017",Biotech & Pharmaceuticals,$10 to $25 million (USD),"Bridgewater, NJ","Manager, Analytical Services","Insmed, Inc.",NJ
9,"Note: To apply for this job, submit your application by clicking on the Apply Now button on this page
Purpose
The Senior Data Scientist will help drive the Novo Nordisk Inc (NNI) Advanced Analytics vision to explore and develop new solutions that may hold the potential to add value to patients and Novo Nordisk in the future within therapeutic areas covered by Novo Nordisk corporate and commercial strategies. The Senior Data Scientist will build machine learning-based tools and processes within the company’s current big data infrastructure such as recommendation engines, automated propensity scoring systems, and A/B testing procedures.

The Senior Data Scientist will work with Novo Nordisk’s Big Data Analytics COE and other, similar roles in Medical Information and Analytics, Medical Data Analytics, and HR People Research and Analytics to help foster and grow a community of predictive and prescriptive analytics.


Relationships
The Senior Data Scientist reports to the Senior Director of Advanced Analytics. Internal relationships include other Commercial Effectiveness functions, especially Analytics and Data Governance; Big Data Analytics COE, Commercial Product and Portfolio personnel, and Area Commercial Leads. Extended internal relationships could include those in other Data Science/Data Science-like roles in Clinical, Medical, Regulatory, Human Resources, Global Development, and Seattle’s Device Research center. External relationships include relationships with commercial collaboration partners as well as academia, where necessary.


Essential Functions
The Senior Data Scientist is expected to: Develop Machine Learning-based solutions using available commercial data, including but not limited to, IQVIA (IMS) data, Real World Data (e.g., Truven), Financial Data, Sales Force Automation (e.g., Veeva) data, and integrated campaign management (e.g., Adobe) data. Build and maintain processes to acquire, process and curate necessary data for analysis and insights. Mine and analyze data to identify insights pertaining to dynamic and/or micro segmentation of patient, physician, and payer/delivery providers. Translate analytic insights into real world solutions. Design methods to generate real-time predictive and descriptive analytics from big datasets. Take responsibility in making new, relevant solutions to real Commercial problems and be able to show successful implementation. Occasionally participate in network with external collaboration partners, e.g., academia, other Pharmaceutical and Non-pharmaceutical Data Science departments specializing in improving commercial results through data science techniques.


Physical Requirements
0-10% overnight travel required.


Qualifications
Level of education and experience: Relevant technical education (e.g., Computer Science, Applied Mathematics, Physics, Engineering) at B.Sc. level with 8 years of experience from relevant industry such as pharmaceutical, biotechnology, consumer product, or medical device industries. Advanced degree may be substituted for experience as appropriate
Required knowledge related to machine learning, including supervised, unsupervised, reinforced (deep) learning methods and ensemble learning methods. Specifically, algorithms such as k-NN, Linear and Generalized Linear Models, naïve Bayes, SVM, and Random Forest
Preferred knowledge related to how pharmaceutical companies market and sell products, market forces that impact decisions made to improve commercial outcomes, and how machine learning models can improve such outcomes
Excellent written and oral communication skills required
Proven ability to influence, communicate, and collaborate across the local organization
Broad, detailed understanding and mastery of technical area with a track record of analyzing critical data through the application and optimization of distinct analytical skills
Record of translating technical mastery to significant project impact
Ability to work independently as well as working in teams. Included in this is the ability to network with external parties
Demonstrated ability to generate valuable and relevant ideas, create concepts based on ideas, and develop new solutions based on concepts
Specific or technical job skills: Deep knowledge of at least one relevant technical area: computer science, computational statistics, including Bayesian inference, mathematics, or systems dynamics
Required experience within several of the following areas: Experience with analytics tools such Python, R, or SAS and SQL, PowerPivot
Mathematical modeling for prediction, clustering and classification
Preferred experience with implementation or utilization of big data tools such as Spark, SparkR, PySpark, Hadoop, Hive, etc.
Proficiency at querying relational databases and ability to build and maintain processes to pull and integrate data from various sources
Experience in Frequentist and Bayesian statistics

Novo Nordisk is an Equal Opportunity Employer - M/F/Veteran/Disability/Sexual Orientation/Gender Identity.

If you are interested in applying to Novo Nordisk and need special assistance or an accommodation to apply, please call us at 1-855-411-5290. This contact is for accommodation requests only and cannot be used to inquire about the status of applications.


Requisition ID: 56243BR
State/Provinces: Plainsboro
Job Category: Finance",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Bagsvaerd, Denmark",Senior Data Scientist,Novo Nordisk,NJ
